[1987, 1270]
[folio, [560.0, 120.0, 140.0, 36.0], shoonya_7sUODZKRE50IB0, 5682079]
[paragraph, [118.0, 193.0, 1024.0, 36.0], shoonya_1s0CQC86X81MOY, 5682079]
[paragraph, [118.0, 229.0, 1024.0, 36.0], shoonya_1s0CQC86X81MOY, 5682079]
[paragraph, [118.0, 265.0, 1024.0, 36.0], shoonya_1s0CQC86X81MOY, 5682079]
[paragraph, [118.0, 301.0, 1024.0, 36.0], shoonya_1s0CQC86X81MOY, 5682079]
[paragraph, [121.0, 346.0, 1019.0, 36.0], shoonya_4sHA068DIZKH9F, 5682079]
[paragraph, [121.0, 382.0, 1019.0, 36.0], shoonya_4sHA068DIZKH9F, 5682079]
[paragraph, [120.0, 453.0, 1025.0, 36.0], qzOpE85rnS, 5682079]
[paragraph, [120.0, 489.0, 1025.0, 36.0], qzOpE85rnS, 5682079]
[paragraph, [120.0, 525.0, 1025.0, 36.0], qzOpE85rnS, 5682079]
[paragraph, [120.0, 561.0, 1025.0, 36.0], qzOpE85rnS, 5682079]
[paragraph, [120.0, 610.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [120.0, 646.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [120.0, 682.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [120.0, 718.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [120.0, 754.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [120.0, 790.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [120.0, 826.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [120.0, 862.0, 1023.0, 36.0], shoonya_2sNGHYS653IO59, 5682079]
[paragraph, [127.0, 921.0, 1014.0, 36.0], shoonya_0sDZ342IQEJ3A5, 5682079]
[paragraph, [127.0, 957.0, 1014.0, 36.0], shoonya_0sDZ342IQEJ3A5, 5682079]
[paragraph, [127.0, 993.0, 1014.0, 36.0], shoonya_0sDZ342IQEJ3A5, 5682079]
[paragraph, [127.0, 1029.0, 1014.0, 36.0], shoonya_0sDZ342IQEJ3A5, 5682079]
[paragraph, [127.0, 1065.0, 1014.0, 36.0], shoonya_0sDZ342IQEJ3A5, 5682079]
[paragraph, [120.0, 1134.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1170.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1206.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1242.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1278.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1314.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1350.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1386.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1422.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1458.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [120.0, 1494.0, 1023.0, 36.0], shoonya_3sVFP7C7MVFSPG, 5682079]
[paragraph, [167.0, 1553.0, 527.0, 36.0], shoonya_5sYLAA6ZJO18II, 5682079]
[paragraph, [123.0, 1604.0, 1017.0, 36.0], PulrnIJkOw, 5682079]
[paragraph, [123.0, 1640.0, 1017.0, 36.0], PulrnIJkOw, 5682079]
[paragraph, [169.0, 1710.0, 676.0, 36.0], 5WZMbQlNL9, 5682079]
[paragraph, [169.0, 1809.0, 537.0, 36.0], gymhTzwZQN, 5682079]
