[612, 396]
[paragraph, [38.0, 69.0, 320.0, 18.0], shoonya_0sJRRVS0EDY9WH, 6514491]
[paragraph, [38.0, 87.0, 320.0, 18.0], shoonya_0sJRRVS0EDY9WH, 6514491]
[paragraph, [38.0, 105.0, 320.0, 18.0], shoonya_0sJRRVS0EDY9WH, 6514491]
[paragraph, [37.0, 160.0, 257.0, 18.0], xC93eMEtnK, 6514491]
[paragraph, [38.0, 185.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 203.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 221.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 239.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 257.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 275.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 293.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 311.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 329.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 347.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 365.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 383.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 401.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 419.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 437.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 455.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 473.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 491.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 509.0, 318.0, 18.0], tYtAASeFPP, 6514491]
[paragraph, [38.0, 527.0, 318.0, 18.0], tYtAASeFPP, 6514491]
