[2067, 1567]
[folio, [193.0, 195.0, 136.0, 36.0], X2Pr2C7GJY, 5735789]
[folio, [1255.0, 195.0, 121.0, 36.0], mXf7YPkX61, 5735789]
[paragraph, [190.0, 248.0, 581.0, 36.0], shoonya_1sD2SE2JW4UEOV, 5735789]
[paragraph, [190.0, 284.0, 581.0, 36.0], shoonya_1sD2SE2JW4UEOV, 5735789]
[paragraph, [190.0, 320.0, 581.0, 36.0], shoonya_1sD2SE2JW4UEOV, 5735789]
[paragraph, [190.0, 356.0, 581.0, 36.0], shoonya_1sD2SE2JW4UEOV, 5735789]
[paragraph, [190.0, 392.0, 581.0, 36.0], shoonya_1sD2SE2JW4UEOV, 5735789]
[paragraph, [190.0, 428.0, 581.0, 36.0], shoonya_1sD2SE2JW4UEOV, 5735789]
[paragraph, [790.0, 250.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 286.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 322.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 358.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 394.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 430.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 466.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 502.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 538.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 574.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 610.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 646.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 682.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 718.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 754.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 790.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
[paragraph, [790.0, 826.0, 581.0, 36.0], shoonya_0sRX06P81C3JP0, 5735789]
