[2339, 1653]
[paragraph, [324.0, 164.0, 1139.0, 36.0], shoonya_4sSL8LAUFPGKFB, 5734321]
[paragraph, [324.0, 200.0, 1139.0, 36.0], shoonya_4sSL8LAUFPGKFB, 5734321]
[paragraph, [326.0, 279.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 315.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 351.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 387.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 423.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 459.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 495.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 531.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 567.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 603.0, 1137.0, 36.0], shoonya_1s48F0MC5FN7YU, 5734321]
[paragraph, [326.0, 664.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 700.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 736.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 772.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 808.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 844.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 880.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 916.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 952.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 988.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1024.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1060.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1096.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1132.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1168.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1204.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1240.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1276.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1312.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1348.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1384.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1420.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1456.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [326.0, 1492.0, 1133.0, 36.0], shoonya_0sXSXCKG1T0IVM, 5734321]
[paragraph, [325.0, 1553.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1589.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1625.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1661.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1697.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1733.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1769.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1805.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [325.0, 1841.0, 1136.0, 36.0], shoonya_2sL60C2IU5NB3B, 5734321]
[paragraph, [324.0, 1885.0, 1141.0, 36.0], shoonya_3sHXI5JHARE1WO, 5734321]
[paragraph, [324.0, 1921.0, 1141.0, 36.0], shoonya_3sHXI5JHARE1WO, 5734321]
[paragraph, [324.0, 1957.0, 1141.0, 36.0], shoonya_3sHXI5JHARE1WO, 5734321]
[paragraph, [324.0, 1993.0, 1141.0, 36.0], shoonya_3sHXI5JHARE1WO, 5734321]
[paragraph, [324.0, 2029.0, 1141.0, 36.0], shoonya_3sHXI5JHARE1WO, 5734321]
[paragraph, [324.0, 2065.0, 1141.0, 36.0], shoonya_3sHXI5JHARE1WO, 5734321]
[folio, [1124.0, 2157.0, 281.0, 36.0], xV4_o5AmX9, 5734321]
