[1823, 1375]
[folio, [644.0, 80.0, 98.0, 36.0], shoonya_0sWSFIJGIV05DN, 5683838]
[paragraph, [106.0, 161.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 197.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 233.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 269.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 305.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 341.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 377.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 413.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 449.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 485.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 521.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 557.0, 1185.0, 36.0], v8y-1HSyuO, 5683838]
[paragraph, [106.0, 613.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 649.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 685.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 721.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 757.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 793.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 829.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 865.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 901.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 937.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 973.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1009.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1045.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1081.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1117.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1153.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1189.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1225.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1261.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1297.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1333.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1369.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1405.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1441.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [106.0, 1477.0, 1184.0, 36.0], pdTZYE_5aP, 5683838]
[paragraph, [104.0, 1553.0, 1182.0, 36.0], vryk_CdeMG, 5683838]
[paragraph, [104.0, 1589.0, 1182.0, 36.0], vryk_CdeMG, 5683838]
[paragraph, [104.0, 1625.0, 1182.0, 36.0], vryk_CdeMG, 5683838]
[paragraph, [104.0, 1661.0, 1182.0, 36.0], vryk_CdeMG, 5683838]
[paragraph, [104.0, 1697.0, 1182.0, 36.0], vryk_CdeMG, 5683838]
