[1818, 1374]
[folio, [568.0, 105.0, 217.0, 36.0], shoonya_0s7RD0U17A51TD, 5682378]
[paragraph, [101.0, 178.0, 568.0, 36.0], _zPdcAae_t, 5682378]
[paragraph, [101.0, 214.0, 568.0, 36.0], _zPdcAae_t, 5682378]
[paragraph, [101.0, 250.0, 568.0, 36.0], _zPdcAae_t, 5682378]
[paragraph, [101.0, 286.0, 568.0, 36.0], _zPdcAae_t, 5682378]
[paragraph, [101.0, 322.0, 568.0, 36.0], _zPdcAae_t, 5682378]
[paragraph, [101.0, 358.0, 568.0, 36.0], _zPdcAae_t, 5682378]
[paragraph, [690.0, 181.0, 563.0, 36.0], hGgorkOiyk, 5682378]
[paragraph, [690.0, 217.0, 563.0, 36.0], hGgorkOiyk, 5682378]
[paragraph, [690.0, 253.0, 563.0, 36.0], hGgorkOiyk, 5682378]
[paragraph, [687.0, 310.0, 575.0, 36.0], fRosN9fu4l, 5682378]
[paragraph, [687.0, 346.0, 575.0, 36.0], fRosN9fu4l, 5682378]
[paragraph, [687.0, 382.0, 575.0, 36.0], fRosN9fu4l, 5682378]
[paragraph, [687.0, 418.0, 575.0, 36.0], fRosN9fu4l, 5682378]
[paragraph, [687.0, 454.0, 575.0, 36.0], fRosN9fu4l, 5682378]
[paragraph, [140.0, 439.0, 431.0, 36.0], VXhdfudce9, 5682378]
[paragraph, [94.0, 496.0, 573.0, 36.0], ppvTGENZBJ, 5682378]
[paragraph, [94.0, 532.0, 573.0, 36.0], ppvTGENZBJ, 5682378]
[paragraph, [94.0, 568.0, 573.0, 36.0], ppvTGENZBJ, 5682378]
[paragraph, [687.0, 532.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 568.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 604.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 640.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 676.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 712.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 748.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 784.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [687.0, 820.0, 573.0, 36.0], FPzC7iBn7u, 5682378]
[paragraph, [96.0, 631.0, 573.0, 36.0], 66kXfK2uDj, 5682378]
[paragraph, [96.0, 667.0, 573.0, 36.0], 66kXfK2uDj, 5682378]
[paragraph, [96.0, 703.0, 573.0, 36.0], 66kXfK2uDj, 5682378]
[paragraph, [96.0, 739.0, 573.0, 36.0], 66kXfK2uDj, 5682378]
[paragraph, [96.0, 775.0, 573.0, 36.0], 66kXfK2uDj, 5682378]
[paragraph, [97.0, 854.0, 568.0, 36.0], OruPb3pCjQ, 5682378]
[paragraph, [97.0, 890.0, 568.0, 36.0], OruPb3pCjQ, 5682378]
[paragraph, [97.0, 926.0, 568.0, 36.0], OruPb3pCjQ, 5682378]
[paragraph, [97.0, 962.0, 568.0, 36.0], OruPb3pCjQ, 5682378]
[paragraph, [690.0, 877.0, 573.0, 36.0], 70K3UvAmTq, 5682378]
[paragraph, [690.0, 913.0, 573.0, 36.0], 70K3UvAmTq, 5682378]
[paragraph, [690.0, 949.0, 573.0, 36.0], 70K3UvAmTq, 5682378]
[paragraph, [688.0, 1009.0, 577.0, 36.0], C5Qs6iCf0b, 5682378]
[paragraph, [688.0, 1045.0, 577.0, 36.0], C5Qs6iCf0b, 5682378]
[paragraph, [688.0, 1081.0, 577.0, 36.0], C5Qs6iCf0b, 5682378]
[paragraph, [99.0, 1030.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1066.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1102.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1138.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1174.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1210.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1246.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1282.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1318.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1354.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1390.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1426.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1462.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1498.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1534.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1570.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1606.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1642.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [99.0, 1678.0, 571.0, 36.0], as0WsmCDZo, 5682378]
[paragraph, [688.0, 1145.0, 578.0, 36.0], Kdd7uk1gkF, 5682378]
[paragraph, [688.0, 1181.0, 578.0, 36.0], Kdd7uk1gkF, 5682378]
[paragraph, [688.0, 1217.0, 578.0, 36.0], Kdd7uk1gkF, 5682378]
[paragraph, [690.0, 1277.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1313.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1349.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1385.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1421.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1457.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1493.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1529.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1565.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [690.0, 1601.0, 577.0, 36.0], IwpAmRx6j_, 5682378]
[paragraph, [731.0, 1663.0, 456.0, 36.0], 8Kwkf4c07P, 5682378]
