[2339, 1653]
[section-title, [655.0, 254.0, 342.0, 52.5], shoonya_23sYQJKMO6I1KE, 5689840]
[placeholder-text, [23.0, 1280.0, 1603.0, 18.0], shoonya_22sELZYMRPL9NK, 5689840]
[placeholder-text, [23.0, 1298.0, 1603.0, 18.0], shoonya_22sELZYMRPL9NK, 5689840]
[placeholder-text, [27.0, 1345.0, 1599.0, 18.0], shoonya_21s5EB20Q56AA2, 5689840]
[placeholder-text, [27.0, 1363.0, 1599.0, 18.0], shoonya_21s5EB20Q56AA2, 5689840]
[placeholder-text, [24.0, 1409.0, 1603.0, 18.0], shoonya_3sBWWY0J8LE74O, 5689840]
[placeholder-text, [24.0, 1427.0, 1603.0, 18.0], shoonya_3sBWWY0J8LE74O, 5689840]
[placeholder-text, [24.0, 1445.0, 1603.0, 18.0], shoonya_3sBWWY0J8LE74O, 5689840]
[placeholder-text, [25.0, 1478.0, 1599.0, 18.0], shoonya_5s7N2RLL938BMA, 5689840]
[placeholder-text, [25.0, 1496.0, 1599.0, 18.0], shoonya_5s7N2RLL938BMA, 5689840]
[placeholder-text, [25.0, 1534.0, 1600.0, 18.0], shoonya_15sPVKNO35K5MX, 5689840]
[placeholder-text, [25.0, 1552.0, 1600.0, 18.0], shoonya_15sPVKNO35K5MX, 5689840]
[placeholder-text, [27.0, 1596.0, 1595.0, 18.0], shoonya_1sCB26646Z0WKU, 5689840]
[placeholder-text, [27.0, 1614.0, 1595.0, 18.0], shoonya_1sCB26646Z0WKU, 5689840]
[placeholder-text, [27.0, 1632.0, 1595.0, 18.0], shoonya_1sCB26646Z0WKU, 5689840]
[placeholder-text, [29.0, 1664.0, 1595.0, 18.0], shoonya_0s803LD4DCK1NG, 5689840]
[placeholder-text, [29.0, 1682.0, 1595.0, 18.0], shoonya_0s803LD4DCK1NG, 5689840]
[placeholder-text, [28.0, 1722.0, 1593.0, 18.0], shoonya_18sEMBYTMR0P62, 5689840]
[placeholder-text, [28.0, 1740.0, 1593.0, 18.0], shoonya_18sEMBYTMR0P62, 5689840]
[placeholder-text, [28.0, 1758.0, 1593.0, 18.0], shoonya_18sEMBYTMR0P62, 5689840]
[placeholder-text, [29.0, 1789.0, 1592.0, 18.0], shoonya_19sWEQMV68XG9A, 5689840]
[placeholder-text, [29.0, 1807.0, 1592.0, 18.0], shoonya_19sWEQMV68XG9A, 5689840]
[placeholder-text, [30.0, 1846.0, 1590.0, 18.0], shoonya_4sGMQ4BP76OORI, 5689840]
[placeholder-text, [30.0, 1864.0, 1590.0, 18.0], shoonya_4sGMQ4BP76OORI, 5689840]
[placeholder-text, [28.0, 1912.0, 1594.0, 18.0], shoonya_2sEJBUOE9JH05X, 5689840]
[placeholder-text, [28.0, 1930.0, 1594.0, 18.0], shoonya_2sEJBUOE9JH05X, 5689840]
[placeholder-text, [28.0, 1948.0, 1594.0, 18.0], shoonya_2sEJBUOE9JH05X, 5689840]
[placeholder-text, [26.0, 1977.0, 1595.0, 18.0], shoonya_7sT9VS9G9Z1YK1, 5689840]
[placeholder-text, [26.0, 1995.0, 1595.0, 18.0], shoonya_7sT9VS9G9Z1YK1, 5689840]
[folio, [1348.0, 2082.0, 107.0, 36.0], shoonya_12s8OZLD2OWAWC, 5689840]
[folio, [185.0, 2085.0, 135.0, 36.0], shoonya_6sPSI03RA1E69N, 5689840]
