[1461, 1106]
[paragraph, [130.0, 109.0, 862.0, 18.0], shoonya_1sGAK8BJQH8CTQ, 5759063]
[paragraph, [130.0, 127.0, 862.0, 18.0], shoonya_1sGAK8BJQH8CTQ, 5759063]
[paragraph, [130.0, 145.0, 862.0, 18.0], shoonya_1sGAK8BJQH8CTQ, 5759063]
[paragraph, [130.0, 163.0, 862.0, 18.0], shoonya_1sGAK8BJQH8CTQ, 5759063]
[paragraph, [130.0, 181.0, 862.0, 18.0], shoonya_1sGAK8BJQH8CTQ, 5759063]
[paragraph, [130.0, 199.0, 862.0, 18.0], shoonya_1sGAK8BJQH8CTQ, 5759063]
[section-title, [129.0, 228.0, 577.0, 30.0], shoonya_4sC5V3274C5825, 5759063]
[ordered-list, [195.0, 284.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 302.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 320.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 338.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 356.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 374.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 392.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 410.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 428.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 446.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 464.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 482.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 500.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 518.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 536.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 554.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 572.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 590.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 608.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 626.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 644.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[ordered-list, [195.0, 662.0, 804.0, 18.0], shoonya_3sYX1Y16BVEIYO, 5759063]
[paragraph, [138.0, 699.0, 853.0, 18.0], OOOlZZmYO-, 5759063]
[paragraph, [138.0, 717.0, 853.0, 18.0], OOOlZZmYO-, 5759063]
[paragraph, [138.0, 735.0, 853.0, 18.0], OOOlZZmYO-, 5759063]
[paragraph, [138.0, 753.0, 853.0, 18.0], OOOlZZmYO-, 5759063]
[paragraph, [138.0, 771.0, 853.0, 18.0], OOOlZZmYO-, 5759063]
[paragraph, [138.0, 789.0, 853.0, 18.0], OOOlZZmYO-, 5759063]
[paragraph, [138.0, 807.0, 853.0, 18.0], OOOlZZmYO-, 5759063]
[paragraph, [133.0, 836.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 854.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 872.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 890.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 908.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 926.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 944.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 962.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 980.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 998.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 1016.0, 858.0, 18.0], Pw6OZwDNIc, 5759063]
[paragraph, [133.0, 1040.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1058.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1076.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1094.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1112.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1130.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1148.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1166.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1184.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[paragraph, [133.0, 1202.0, 858.0, 18.0], 5AEWhtBYOn, 5759063]
[folio, [192.0, 1341.0, 156.0, 18.0], 9_qHeDiM44, 5759063]
[folio, [192.0, 1359.0, 156.0, 18.0], 9_qHeDiM44, 5759063]
