[1050, 693]
[folio, [81.0, 76.0, 88.0, 18.0], shoonya_1sWW31ZSVGXY0U, 5702228]
[folio, [81.0, 94.0, 88.0, 18.0], shoonya_1sWW31ZSVGXY0U, 5702228]
[paragraph, [80.0, 128.0, 531.0, 18.0], SYZbF8ZWn1, 5702228]
[paragraph, [80.0, 146.0, 531.0, 18.0], SYZbF8ZWn1, 5702228]
[paragraph, [80.0, 164.0, 531.0, 18.0], SYZbF8ZWn1, 5702228]
[paragraph, [79.0, 193.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 211.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 229.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 247.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 265.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 283.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 301.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 319.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 337.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 355.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 373.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 391.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 409.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 427.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 445.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 463.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 481.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 499.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 517.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [79.0, 535.0, 529.0, 18.0], shoonya_0sV28CXJFLJHFO, 5702228]
[paragraph, [132.0, 569.0, 359.0, 18.0], shoonya_2sYGUYVCSPA30S, 5702228]
[paragraph, [132.0, 587.0, 359.0, 18.0], shoonya_2sYGUYVCSPA30S, 5702228]
[paragraph, [79.0, 603.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [79.0, 621.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [79.0, 639.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [79.0, 657.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [79.0, 675.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [79.0, 693.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [79.0, 711.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [79.0, 729.0, 536.0, 18.0], shoonya_3sDQ0FTV9UF38E, 5702228]
[paragraph, [135.0, 768.0, 474.0, 18.0], YlP6hZVhnh, 5702228]
[paragraph, [135.0, 786.0, 474.0, 18.0], YlP6hZVhnh, 5702228]
[paragraph, [132.0, 803.0, 479.0, 18.0], 36-B2rzdYd, 5702228]
[paragraph, [132.0, 821.0, 479.0, 18.0], 36-B2rzdYd, 5702228]
[paragraph, [78.0, 843.0, 537.0, 18.0], hqZ6FzOSpo, 5702228]
[paragraph, [78.0, 861.0, 537.0, 18.0], hqZ6FzOSpo, 5702228]
[paragraph, [78.0, 879.0, 537.0, 18.0], hqZ6FzOSpo, 5702228]
[paragraph, [78.0, 897.0, 537.0, 18.0], hqZ6FzOSpo, 5702228]
[paragraph, [78.0, 915.0, 537.0, 18.0], hqZ6FzOSpo, 5702228]
[paragraph, [78.0, 933.0, 537.0, 18.0], hqZ6FzOSpo, 5702228]
[paragraph, [78.0, 951.0, 537.0, 18.0], hqZ6FzOSpo, 5702228]
