[1818, 1374]
[folio, [602.0, 103.0, 149.0, 36.0], shoonya_0sGZ9HEOM85V3N, 5682326]
[paragraph, [690.0, 183.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 219.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 255.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 291.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 327.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 363.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 399.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 435.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 471.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 507.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 543.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 579.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 615.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 651.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 687.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 723.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 759.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 795.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 831.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 867.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 903.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 939.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 975.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1011.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1047.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1083.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1119.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1155.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1191.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1227.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1263.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1299.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1335.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1371.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1407.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1443.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1479.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1515.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1551.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1587.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1623.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [690.0, 1659.0, 580.0, 36.0], r1uMk8BoJ-, 5682326]
[paragraph, [106.0, 184.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 220.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 256.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 292.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 328.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 364.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 400.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 436.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 472.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 508.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 544.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 580.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [106.0, 616.0, 567.0, 36.0], shoonya_3sVAGJYKPCRYCE, 5682326]
[paragraph, [104.0, 781.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 817.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 853.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 889.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 925.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 961.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 997.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1033.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1069.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1105.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1141.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1177.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1213.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1249.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1285.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1321.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1357.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1393.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1429.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1465.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1501.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1537.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1573.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1609.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
[paragraph, [104.0, 1645.0, 571.0, 36.0], gUMrh_Up3u, 5682326]
