[792, 612]
[folio, [205.0, 21.0, 236.0, 18.0], CVwLk1WU5E, 5744463]
[paragraph, [111.0, 58.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 76.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 94.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 112.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 130.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 148.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 166.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 184.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 202.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 220.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 238.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [111.0, 256.0, 423.0, 18.0], shoonya_0sE0ZF1Q6MSG8D, 5744463]
[paragraph, [125.0, 297.0, 389.0, 18.0], kmaqedH0-k, 5744463]
[paragraph, [111.0, 340.0, 424.0, 18.0], shoonya_2sV7TR4KSTG7DW, 5744463]
[paragraph, [111.0, 358.0, 424.0, 18.0], shoonya_2sV7TR4KSTG7DW, 5744463]
[paragraph, [111.0, 376.0, 424.0, 18.0], shoonya_2sV7TR4KSTG7DW, 5744463]
[paragraph, [111.0, 394.0, 424.0, 18.0], shoonya_2sV7TR4KSTG7DW, 5744463]
[paragraph, [111.0, 412.0, 424.0, 18.0], shoonya_2sV7TR4KSTG7DW, 5744463]
[paragraph, [111.0, 430.0, 424.0, 18.0], shoonya_2sV7TR4KSTG7DW, 5744463]
[paragraph, [111.0, 461.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 479.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 497.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 515.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 533.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 551.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 569.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 587.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 605.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [111.0, 623.0, 425.0, 18.0], shoonya_1sXVVGXQMF5GRV, 5744463]
[paragraph, [114.0, 666.0, 422.0, 18.0], shoonya_4sBRAIN8FJNO9P, 5744463]
[paragraph, [114.0, 684.0, 422.0, 18.0], shoonya_4sBRAIN8FJNO9P, 5744463]
[paragraph, [114.0, 702.0, 422.0, 18.0], shoonya_4sBRAIN8FJNO9P, 5744463]
