[1948, 1214]
[chapter-title, [492.0, 283.0, 246.0, 58.5], shoonya_6sO4B2ID8O6TKV, 5732819]
[paragraph, [145.0, 530.0, 938.0, 36.0], shoonya_2sJFBRNB0USEH0, 5732819]
[paragraph, [145.0, 566.0, 938.0, 36.0], shoonya_2sJFBRNB0USEH0, 5732819]
[paragraph, [145.0, 602.0, 938.0, 36.0], shoonya_2sJFBRNB0USEH0, 5732819]
[paragraph, [145.0, 638.0, 938.0, 36.0], shoonya_2sJFBRNB0USEH0, 5732819]
[paragraph, [145.0, 674.0, 938.0, 36.0], shoonya_2sJFBRNB0USEH0, 5732819]
[paragraph, [145.0, 740.0, 936.0, 36.0], shoonya_0sD45JDDFPQN9Q, 5732819]
[paragraph, [145.0, 776.0, 936.0, 36.0], shoonya_0sD45JDDFPQN9Q, 5732819]
[paragraph, [145.0, 812.0, 936.0, 36.0], shoonya_0sD45JDDFPQN9Q, 5732819]
[paragraph, [145.0, 848.0, 936.0, 36.0], shoonya_0sD45JDDFPQN9Q, 5732819]
[paragraph, [145.0, 884.0, 936.0, 36.0], shoonya_0sD45JDDFPQN9Q, 5732819]
[paragraph, [145.0, 920.0, 936.0, 36.0], shoonya_0sD45JDDFPQN9Q, 5732819]
[paragraph, [143.0, 997.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [143.0, 1033.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [143.0, 1069.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [143.0, 1105.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [143.0, 1141.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [143.0, 1177.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [143.0, 1213.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [143.0, 1249.0, 936.0, 36.0], shoonya_1sU4YOEJU695Y5, 5732819]
[paragraph, [145.0, 1314.0, 925.0, 36.0], shoonya_3sOWH9AHMALZU6, 5732819]
[paragraph, [145.0, 1350.0, 925.0, 36.0], shoonya_3sOWH9AHMALZU6, 5732819]
[paragraph, [145.0, 1386.0, 925.0, 36.0], shoonya_3sOWH9AHMALZU6, 5732819]
[paragraph, [145.0, 1422.0, 925.0, 36.0], shoonya_3sOWH9AHMALZU6, 5732819]
[paragraph, [145.0, 1471.0, 922.0, 36.0], shoonya_4s7LXYLGKIRUFV, 5732819]
[paragraph, [145.0, 1507.0, 922.0, 36.0], shoonya_4s7LXYLGKIRUFV, 5732819]
[paragraph, [145.0, 1543.0, 922.0, 36.0], shoonya_4s7LXYLGKIRUFV, 5732819]
[paragraph, [145.0, 1579.0, 922.0, 36.0], shoonya_4s7LXYLGKIRUFV, 5732819]
[paragraph, [146.0, 1624.0, 921.0, 36.0], shoonya_5sN6U5YNVVGWDT, 5732819]
[paragraph, [146.0, 1660.0, 921.0, 36.0], shoonya_5sN6U5YNVVGWDT, 5732819]
[paragraph, [146.0, 1696.0, 921.0, 36.0], shoonya_5sN6U5YNVVGWDT, 5732819]
[paragraph, [146.0, 1732.0, 921.0, 36.0], shoonya_5sN6U5YNVVGWDT, 5732819]
[folio, [509.0, 1840.0, 190.0, 36.0], MH3yq9UG9j, 5732819]
