[2339, 1656]
[headline, [735.0, 174.0, 194.0, 67.5], EP5Rjs4yKX, 5753105]
[paragraph, [159.0, 319.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 355.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 391.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 427.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 463.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 499.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 535.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 571.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 607.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 643.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 679.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 715.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 751.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 787.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 823.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 859.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [159.0, 895.0, 768.0, 36.0], a-WwLow-5r, 5753105]
[paragraph, [174.0, 1061.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1097.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1133.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1169.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1205.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1241.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1277.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1313.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1349.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1385.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1421.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1457.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1493.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1529.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1565.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1601.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[paragraph, [174.0, 1637.0, 607.0, 36.0], BHhYkMUrHo, 5753105]
[folio, [99.0, 2183.0, 484.0, 36.0], shoonya_0sTR83MJJ6HNSC, 5753105]
