[2339, 1653]
[paragraph, [314.0, 154.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 190.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 226.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 262.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 298.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 334.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 370.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 406.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 442.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 478.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 514.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 550.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 586.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 622.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 658.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 694.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 730.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 766.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 802.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 838.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 874.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 910.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 946.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 982.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1018.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1054.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1090.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1126.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1162.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1198.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1234.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1270.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1306.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1342.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [314.0, 1378.0, 1167.0, 36.0], shoonya_1sXKU6BGBE0YZS, 5734272]
[paragraph, [325.0, 1448.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1484.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1520.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1556.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1592.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1628.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1664.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1700.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1736.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1772.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1808.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
[paragraph, [325.0, 1844.0, 1136.0, 36.0], shoonya_0s8YNTVL46ZIP0, 5734272]
