[2484, 1767]
[paragraph, [359.0, 423.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 459.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 495.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 531.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 567.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 603.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 639.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 675.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 711.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 747.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 783.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[paragraph, [359.0, 819.0, 1182.0, 36.0], shoonya_1sUD5EFSPAFVQ4, 5753948]
[section-title, [347.0, 927.0, 992.0, 52.5], S-TAGJmLcY, 5753948]
[paragraph, [356.0, 1016.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1052.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1088.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1124.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1160.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1196.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1232.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1268.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1304.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1340.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1376.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1412.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1448.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1484.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1520.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1556.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1592.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1628.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1664.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1700.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1736.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1772.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1808.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1844.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [356.0, 1880.0, 1197.0, 36.0], shoonya_0s6JLFX7IV1FT7, 5753948]
[paragraph, [363.0, 1965.0, 1213.0, 36.0], Hm05RGBF8T, 5753948]
[paragraph, [363.0, 2001.0, 1213.0, 36.0], Hm05RGBF8T, 5753948]
[paragraph, [363.0, 2037.0, 1213.0, 36.0], Hm05RGBF8T, 5753948]
[paragraph, [363.0, 2073.0, 1213.0, 36.0], Hm05RGBF8T, 5753948]
[paragraph, [363.0, 2109.0, 1213.0, 36.0], Hm05RGBF8T, 5753948]
[paragraph, [363.0, 2145.0, 1213.0, 36.0], Hm05RGBF8T, 5753948]
[paragraph, [363.0, 2181.0, 1213.0, 36.0], Hm05RGBF8T, 5753948]
