[2200, 1700]
[folio, [785.0, 395.0, 139.0, 36.0], shoonya_6sWKTJTN4G958W, 5732261]
[paragraph, [464.0, 485.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 521.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 557.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 593.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 629.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 665.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 701.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 737.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 773.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 809.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 845.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 881.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 917.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 953.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 989.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [464.0, 1025.0, 782.0, 36.0], shoonya_0sV7MBZN6T7GN6, 5732261]
[paragraph, [466.0, 1094.0, 775.0, 36.0], shoonya_3sKQH06OLU54UL, 5732261]
[paragraph, [466.0, 1130.0, 775.0, 36.0], shoonya_3sKQH06OLU54UL, 5732261]
[paragraph, [466.0, 1166.0, 775.0, 36.0], shoonya_3sKQH06OLU54UL, 5732261]
[paragraph, [464.0, 1215.0, 776.0, 36.0], shoonya_2sZ8GZL48RB2W2, 5732261]
[paragraph, [464.0, 1251.0, 776.0, 36.0], shoonya_2sZ8GZL48RB2W2, 5732261]
[paragraph, [464.0, 1287.0, 776.0, 36.0], shoonya_2sZ8GZL48RB2W2, 5732261]
[paragraph, [464.0, 1323.0, 776.0, 36.0], shoonya_2sZ8GZL48RB2W2, 5732261]
[paragraph, [462.0, 1390.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [462.0, 1426.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [462.0, 1462.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [462.0, 1498.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [462.0, 1534.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [462.0, 1570.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [462.0, 1606.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [462.0, 1642.0, 781.0, 36.0], shoonya_1sLQG9NGDLDG6Q, 5732261]
[paragraph, [511.0, 1693.0, 738.0, 36.0], shoonya_5s87YA23F0IGW9, 5732261]
[footnote, [1307.0, 2028.0, 218.0, 36.0], e25sSEptT_, 5732261]
[footnote, [1307.0, 2064.0, 218.0, 36.0], e25sSEptT_, 5732261]
[folio, [804.0, 2106.0, 178.0, 36.0], _dyHkU0gXU, 5732261]
