[1300, 900]
[folio, [331.0, 76.0, 241.0, 18.0], 4qy9PSYQy3, 5731788]
[paragraph, [103.0, 128.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 146.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 164.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 182.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 200.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 218.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 236.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 254.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 272.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 290.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 308.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 326.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 344.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 362.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 380.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 398.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 416.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 434.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 452.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 470.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 488.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 506.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 524.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 542.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 560.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
[paragraph, [103.0, 578.0, 688.0, 18.0], shoonya_1sWKZFIL5TCRUL, 5731788]
