[2339, 1656]
[paragraph, [238.0, 451.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 487.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 523.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 559.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 595.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 631.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 667.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 703.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 739.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 775.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 811.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [238.0, 847.0, 1185.0, 36.0], shoonya_1sSCE0IGICFBZ2, 5656690]
[paragraph, [220.0, 914.0, 1199.0, 36.0], shoonya_2sUP4QOTQQ2HQW, 5656690]
[paragraph, [220.0, 950.0, 1199.0, 36.0], shoonya_2sUP4QOTQQ2HQW, 5656690]
[paragraph, [220.0, 986.0, 1199.0, 36.0], shoonya_2sUP4QOTQQ2HQW, 5656690]
[paragraph, [220.0, 1022.0, 1199.0, 36.0], shoonya_2sUP4QOTQQ2HQW, 5656690]
[paragraph, [247.0, 1069.0, 1161.0, 36.0], shoonya_3s2FPFH0VEGJUS, 5656690]
[paragraph, [247.0, 1105.0, 1161.0, 36.0], shoonya_3s2FPFH0VEGJUS, 5656690]
[paragraph, [247.0, 1141.0, 1161.0, 36.0], shoonya_3s2FPFH0VEGJUS, 5656690]
[paragraph, [247.0, 1177.0, 1161.0, 36.0], shoonya_3s2FPFH0VEGJUS, 5656690]
[paragraph, [247.0, 1213.0, 1161.0, 36.0], shoonya_3s2FPFH0VEGJUS, 5656690]
[paragraph, [244.0, 1275.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1311.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1347.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1383.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1419.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1455.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1491.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1527.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1563.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1599.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1635.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [244.0, 1671.0, 1160.0, 36.0], shoonya_0sR3D5824KMK18, 5656690]
[paragraph, [241.0, 1736.0, 1176.0, 36.0], shoonya_4s26YW3B2KXC9Z, 5656690]
[paragraph, [241.0, 1772.0, 1176.0, 36.0], shoonya_4s26YW3B2KXC9Z, 5656690]
[paragraph, [241.0, 1808.0, 1176.0, 36.0], shoonya_4s26YW3B2KXC9Z, 5656690]
[paragraph, [241.0, 1844.0, 1176.0, 36.0], shoonya_4s26YW3B2KXC9Z, 5656690]
[paragraph, [241.0, 1880.0, 1176.0, 36.0], shoonya_4s26YW3B2KXC9Z, 5656690]
[paragraph, [241.0, 1916.0, 1176.0, 36.0], shoonya_4s26YW3B2KXC9Z, 5656690]
