[1736, 1323]
[headline, [162.0, 808.0, 1021.0, 37.5], shoonya_5s1ZMYA3K5OG7N, 5772088]
[headline, [162.0, 845.5, 1021.0, 37.5], shoonya_5s1ZMYA3K5OG7N, 5772088]
[headline, [162.0, 883.0, 1021.0, 37.5], shoonya_5s1ZMYA3K5OG7N, 5772088]
[paragraph, [672.0, 980.0, 521.0, 36.0], shoonya_6sFJ9C5P7LPIP4, 5772088]
[paragraph, [672.0, 1016.0, 521.0, 36.0], shoonya_6sFJ9C5P7LPIP4, 5772088]
[paragraph, [672.0, 1052.0, 521.0, 36.0], shoonya_6sFJ9C5P7LPIP4, 5772088]
[paragraph, [129.0, 993.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [129.0, 1029.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [129.0, 1065.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [129.0, 1101.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [129.0, 1137.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [129.0, 1173.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [129.0, 1209.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [129.0, 1245.0, 524.0, 36.0], shoonya_3sXVFGGASK3R8R, 5772088]
[paragraph, [671.0, 1110.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [671.0, 1146.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [671.0, 1182.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [671.0, 1218.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [671.0, 1254.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [671.0, 1290.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [671.0, 1326.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [671.0, 1362.0, 524.0, 36.0], shoonya_2sUILL3PRLKL98, 5772088]
[paragraph, [126.0, 1328.0, 524.0, 36.0], shoonya_0sYEACYRSHN87Y, 5772088]
[paragraph, [126.0, 1364.0, 524.0, 36.0], shoonya_0sYEACYRSHN87Y, 5772088]
[paragraph, [126.0, 1400.0, 524.0, 36.0], shoonya_0sYEACYRSHN87Y, 5772088]
[paragraph, [126.0, 1436.0, 524.0, 36.0], shoonya_0sYEACYRSHN87Y, 5772088]
[paragraph, [126.0, 1472.0, 524.0, 36.0], shoonya_0sYEACYRSHN87Y, 5772088]
[paragraph, [126.0, 1508.0, 524.0, 36.0], shoonya_0sYEACYRSHN87Y, 5772088]
[paragraph, [674.0, 1442.0, 521.0, 36.0], shoonya_8sDBFMJGPTJ4TC, 5772088]
[paragraph, [674.0, 1478.0, 521.0, 36.0], shoonya_8sDBFMJGPTJ4TC, 5772088]
[folio, [584.0, 1575.0, 138.0, 36.0], 8x2rnTsTjY, 5772088]
