[1418, 1063]
[chapter-title, [120.0, 96.0, 845.0, 30.0], shoonya_0s62G61BXYMBMU, 6469365]
[chapter-title, [120.0, 126.0, 845.0, 30.0], shoonya_0s62G61BXYMBMU, 6469365]
[chapter-title, [120.0, 156.0, 845.0, 30.0], shoonya_0s62G61BXYMBMU, 6469365]
[chapter-title, [120.0, 186.0, 845.0, 30.0], shoonya_0s62G61BXYMBMU, 6469365]
[section-title, [119.0, 261.0, 308.0, 30.0], hriUsm-dWb, 6469365]
[paragraph, [107.0, 316.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 334.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 352.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 370.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 388.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 406.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 424.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 442.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 460.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 478.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[paragraph, [107.0, 496.0, 874.0, 18.0], xyPF0qQ9w4, 6469365]
[section-title, [188.0, 550.0, 418.0, 30.0], 2a7W2AnTGi, 6469365]
[figure-caption, [479.0, 1019.0, 127.0, 18.0], hcmRYET_pc, 6469365]
[paragraph, [104.0, 1067.0, 879.0, 18.0], 8C8rW6KqbU, 6469365]
[paragraph, [104.0, 1085.0, 879.0, 18.0], 8C8rW6KqbU, 6469365]
[paragraph, [104.0, 1103.0, 879.0, 18.0], 8C8rW6KqbU, 6469365]
[paragraph, [104.0, 1121.0, 879.0, 18.0], 8C8rW6KqbU, 6469365]
[paragraph, [108.0, 1164.0, 875.0, 18.0], mC274INhwS, 6469365]
[paragraph, [108.0, 1182.0, 875.0, 18.0], mC274INhwS, 6469365]
[paragraph, [108.0, 1200.0, 875.0, 18.0], mC274INhwS, 6469365]
[paragraph, [108.0, 1218.0, 875.0, 18.0], mC274INhwS, 6469365]
[paragraph, [108.0, 1236.0, 875.0, 18.0], mC274INhwS, 6469365]
[paragraph, [108.0, 1254.0, 875.0, 18.0], mC274INhwS, 6469365]
[folio, [118.0, 1297.0, 281.0, 18.0], AJEHmASXCs, 6469365]
[folio, [118.0, 1315.0, 281.0, 18.0], AJEHmASXCs, 6469365]
