[2200, 1700]
[paragraph, [348.0, 110.0, 1090.0, 36.0], Am22Qw0V_t, 5731232]
[paragraph, [348.0, 146.0, 1090.0, 36.0], Am22Qw0V_t, 5731232]
[paragraph, [348.0, 182.0, 1090.0, 36.0], Am22Qw0V_t, 5731232]
[paragraph, [348.0, 218.0, 1090.0, 36.0], Am22Qw0V_t, 5731232]
[paragraph, [348.0, 254.0, 1090.0, 36.0], Am22Qw0V_t, 5731232]
[paragraph, [348.0, 290.0, 1090.0, 36.0], Am22Qw0V_t, 5731232]
[paragraph, [348.0, 326.0, 1090.0, 36.0], Am22Qw0V_t, 5731232]
[paragraph, [347.0, 403.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 439.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 475.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 511.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 547.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 583.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 619.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 655.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 691.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 727.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 763.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 799.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 835.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 871.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 907.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 943.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 979.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 1015.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 1051.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 1087.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 1123.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [347.0, 1159.0, 1103.0, 36.0], shoonya_1sVHY1GK6LIHWU, 5731232]
[paragraph, [351.0, 1232.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1268.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1304.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1340.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1376.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1412.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1448.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1484.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1520.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1556.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1592.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1628.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1664.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1700.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1736.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1772.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1808.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1844.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[paragraph, [351.0, 1880.0, 1082.0, 36.0], shoonya_0s15DBYLGU787L, 5731232]
[folio, [358.0, 2049.0, 345.0, 36.0], dLFpKBsY7z, 5731232]
