[792, 612]
[folio, [264.0, 37.0, 63.0, 18.0], 837WDTsgAL, 6491474]
[paragraph, [92.0, 73.0, 403.0, 18.0], fBiA81OpaA, 6491474]
[paragraph, [92.0, 91.0, 403.0, 18.0], fBiA81OpaA, 6491474]
[paragraph, [126.0, 120.0, 335.0, 18.0], AYj0uQzYZH, 6491474]
[paragraph, [135.0, 140.0, 180.0, 18.0], VeWtAmfppF, 6491474]
[paragraph, [94.0, 158.0, 402.0, 18.0], xYe7WlH5az, 6491474]
[paragraph, [94.0, 176.0, 402.0, 18.0], xYe7WlH5az, 6491474]
[paragraph, [94.0, 194.0, 402.0, 18.0], xYe7WlH5az, 6491474]
[paragraph, [94.0, 212.0, 402.0, 18.0], xYe7WlH5az, 6491474]
[paragraph, [94.0, 230.0, 402.0, 18.0], xYe7WlH5az, 6491474]
[paragraph, [94.0, 248.0, 402.0, 18.0], xYe7WlH5az, 6491474]
[paragraph, [94.0, 266.0, 402.0, 18.0], xYe7WlH5az, 6491474]
[paragraph, [92.0, 299.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 317.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 335.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 353.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 371.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 389.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 407.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 425.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 443.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 461.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 479.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 497.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 515.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 533.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 551.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 569.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 587.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 605.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [92.0, 623.0, 403.0, 18.0], PGvN1ln6Ns, 6491474]
[paragraph, [95.0, 652.0, 400.0, 18.0], XiLhrpTPOt, 6491474]
[paragraph, [95.0, 670.0, 400.0, 18.0], XiLhrpTPOt, 6491474]
