[681, 497]
[paragraph, [23.0, 28.0, 226.0, 18.0], shoonya_5sCDJHS682O2MA, 5713156]
[paragraph, [23.0, 46.0, 226.0, 18.0], shoonya_5sCDJHS682O2MA, 5713156]
[paragraph, [23.0, 64.0, 226.0, 18.0], shoonya_5sCDJHS682O2MA, 5713156]
[paragraph, [23.0, 82.0, 226.0, 18.0], shoonya_5sCDJHS682O2MA, 5713156]
[paragraph, [23.0, 100.0, 226.0, 18.0], shoonya_5sCDJHS682O2MA, 5713156]
[paragraph, [23.0, 118.0, 226.0, 18.0], shoonya_5sCDJHS682O2MA, 5713156]
[paragraph, [252.0, 29.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 47.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 65.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 83.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 101.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 119.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 137.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 155.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 173.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 191.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [252.0, 209.0, 221.0, 18.0], shoonya_3sSNOJV1KPWANK, 5713156]
[paragraph, [28.0, 156.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 174.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 192.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 210.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 228.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 246.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 264.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 282.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [28.0, 300.0, 220.0, 18.0], shoonya_1sAT9JAPFIPIJT, 5713156]
[paragraph, [249.0, 228.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 246.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 264.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 282.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 300.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 318.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 336.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 354.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 372.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 390.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 408.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 426.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 444.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 462.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 480.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 498.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 516.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 534.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 552.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 570.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [249.0, 588.0, 223.0, 18.0], shoonya_0sQ82FPBWT54X8, 5713156]
[paragraph, [26.0, 331.0, 211.0, 18.0], Cqb9hUWFLH, 5713156]
[paragraph, [26.0, 349.0, 211.0, 18.0], Cqb9hUWFLH, 5713156]
[paragraph, [26.0, 367.0, 211.0, 18.0], Cqb9hUWFLH, 5713156]
[paragraph, [30.0, 398.0, 212.0, 18.0], shoonya_6sZZ8F66SOXYYB, 5713156]
[paragraph, [30.0, 416.0, 212.0, 18.0], shoonya_6sZZ8F66SOXYYB, 5713156]
[paragraph, [30.0, 434.0, 212.0, 18.0], shoonya_6sZZ8F66SOXYYB, 5713156]
[paragraph, [30.0, 452.0, 212.0, 18.0], shoonya_6sZZ8F66SOXYYB, 5713156]
[paragraph, [27.0, 494.0, 223.0, 18.0], shoonya_7sY9GNN92D7EKO, 5713156]
[paragraph, [27.0, 512.0, 223.0, 18.0], shoonya_7sY9GNN92D7EKO, 5713156]
[paragraph, [27.0, 530.0, 223.0, 18.0], shoonya_7sY9GNN92D7EKO, 5713156]
[paragraph, [32.0, 558.0, 210.0, 18.0], shoonya_8sKHTMDBZIKVXZ, 5713156]
[paragraph, [29.0, 591.0, 213.0, 18.0], shoonya_2s6H6J0ETDTG2R, 5713156]
[paragraph, [29.0, 609.0, 213.0, 18.0], shoonya_2s6H6J0ETDTG2R, 5713156]
[paragraph, [29.0, 627.0, 213.0, 18.0], shoonya_2s6H6J0ETDTG2R, 5713156]
[paragraph, [249.0, 618.0, 223.0, 18.0], shoonya_4s6DQOQK5WPFGA, 5713156]
