[1806, 1262]
[paragraph, [103.0, 165.0, 1049.0, 36.0], shoonya_2sLIZC5V3NRXFF, 5681411]
[paragraph, [103.0, 201.0, 1049.0, 36.0], shoonya_2sLIZC5V3NRXFF, 5681411]
[paragraph, [101.0, 248.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 284.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 320.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 356.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 392.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 428.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 464.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 500.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 536.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [101.0, 572.0, 1056.0, 36.0], shoonya_3sXI1JO4UW31TP, 5681411]
[paragraph, [98.0, 623.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [98.0, 659.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [98.0, 695.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [98.0, 731.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [98.0, 767.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [98.0, 803.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [98.0, 839.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [98.0, 875.0, 1059.0, 36.0], shoonya_4sTWBZHHNB5MD3, 5681411]
[paragraph, [101.0, 1023.0, 1053.0, 36.0], shoonya_6s32QF8CX2GWR8, 5681411]
[paragraph, [101.0, 1059.0, 1053.0, 36.0], shoonya_6s32QF8CX2GWR8, 5681411]
[paragraph, [101.0, 1095.0, 1053.0, 36.0], shoonya_6s32QF8CX2GWR8, 5681411]
[paragraph, [101.0, 1131.0, 1053.0, 36.0], shoonya_6s32QF8CX2GWR8, 5681411]
[paragraph, [101.0, 1167.0, 1053.0, 36.0], shoonya_6s32QF8CX2GWR8, 5681411]
[paragraph, [99.0, 1228.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1264.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1300.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1336.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1372.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1408.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1444.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1480.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1516.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1552.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1588.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1624.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
[paragraph, [99.0, 1660.0, 1058.0, 36.0], COXz-ANMTK, 5681411]
