[1755, 1240]
[folio, [642.0, 75.0, 481.0, 36.0], vxSuh0D4Fs, 5744116]
[paragraph, [200.0, 207.0, 937.0, 36.0], shoonya_1s1J7A4T78XXM0, 5744116]
[paragraph, [200.0, 243.0, 937.0, 36.0], shoonya_1s1J7A4T78XXM0, 5744116]
[paragraph, [200.0, 279.0, 937.0, 36.0], shoonya_1s1J7A4T78XXM0, 5744116]
[paragraph, [200.0, 315.0, 937.0, 36.0], shoonya_1s1J7A4T78XXM0, 5744116]
[paragraph, [200.0, 351.0, 937.0, 36.0], shoonya_1s1J7A4T78XXM0, 5744116]
[paragraph, [200.0, 387.0, 937.0, 36.0], shoonya_1s1J7A4T78XXM0, 5744116]
[paragraph, [196.0, 520.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 556.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 592.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 628.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 664.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 700.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 736.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 772.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 808.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 844.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 880.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 916.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 952.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 988.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1024.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1060.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1096.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1132.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1168.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1204.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1240.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1276.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1312.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1348.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1384.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1420.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1456.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1492.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
[paragraph, [196.0, 1528.0, 927.0, 36.0], shoonya_2s90LZV6BSPPZW, 5744116]
