[1650, 1275]
[paragraph, [259.0, 178.0, 837.0, 36.0], shoonya_4sWRGO30OCJJUD, 6470334]
[paragraph, [259.0, 214.0, 837.0, 36.0], shoonya_4sWRGO30OCJJUD, 6470334]
[paragraph, [255.0, 372.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 408.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 444.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 480.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 516.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 552.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 588.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 624.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 660.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 696.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 732.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 768.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 804.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 840.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 876.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 912.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 948.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 984.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1020.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1056.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1092.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1128.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1164.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1200.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1236.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [255.0, 1272.0, 847.0, 36.0], shoonya_0s973AXWJVV9MB, 6470334]
[paragraph, [254.0, 1345.0, 835.0, 36.0], shoonya_1sHG29YYD8LW0F, 6470334]
[paragraph, [254.0, 1381.0, 835.0, 36.0], shoonya_1sHG29YYD8LW0F, 6470334]
[paragraph, [254.0, 1417.0, 835.0, 36.0], shoonya_1sHG29YYD8LW0F, 6470334]
[paragraph, [254.0, 1453.0, 835.0, 36.0], shoonya_1sHG29YYD8LW0F, 6470334]
