[1050, 693]
[folio, [512.0, 71.0, 100.0, 18.0], Lwgcgd3UBR, 5702442]
[folio, [512.0, 89.0, 100.0, 18.0], Lwgcgd3UBR, 5702442]
[paragraph, [83.0, 121.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [83.0, 139.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [83.0, 157.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [83.0, 175.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [83.0, 193.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [83.0, 211.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [83.0, 229.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [83.0, 247.0, 525.0, 18.0], shoonya_1s05K2SGTSL77P, 5702442]
[paragraph, [84.0, 283.0, 527.0, 18.0], shoonya_3s546GRFJ6XJX4, 5702442]
[paragraph, [84.0, 301.0, 527.0, 18.0], shoonya_3s546GRFJ6XJX4, 5702442]
[paragraph, [84.0, 319.0, 527.0, 18.0], shoonya_3s546GRFJ6XJX4, 5702442]
[paragraph, [83.0, 350.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 368.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 386.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 404.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 422.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 440.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 458.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 476.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 494.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 512.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [83.0, 530.0, 527.0, 18.0], bqNCVKtCbt, 5702442]
[paragraph, [85.0, 545.0, 524.0, 18.0], shoonya_2s3UA09H4IYWMG, 5702442]
[paragraph, [85.0, 563.0, 524.0, 18.0], shoonya_2s3UA09H4IYWMG, 5702442]
[paragraph, [85.0, 581.0, 524.0, 18.0], shoonya_2s3UA09H4IYWMG, 5702442]
[paragraph, [85.0, 599.0, 524.0, 18.0], shoonya_2s3UA09H4IYWMG, 5702442]
[paragraph, [85.0, 617.0, 524.0, 18.0], shoonya_2s3UA09H4IYWMG, 5702442]
[paragraph, [85.0, 635.0, 524.0, 18.0], shoonya_2s3UA09H4IYWMG, 5702442]
[paragraph, [85.0, 653.0, 524.0, 18.0], shoonya_2s3UA09H4IYWMG, 5702442]
[paragraph, [83.0, 684.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 702.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 720.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 738.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 756.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 774.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 792.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 810.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 828.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 846.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 864.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [83.0, 882.0, 530.0, 18.0], shoonya_0sF5H8EXI2LPBK, 5702442]
[paragraph, [87.0, 908.0, 525.0, 18.0], shoonya_5sPK9IB3OSGG40, 5702442]
[paragraph, [87.0, 926.0, 525.0, 18.0], shoonya_5sPK9IB3OSGG40, 5702442]
[paragraph, [87.0, 944.0, 525.0, 18.0], shoonya_5sPK9IB3OSGG40, 5702442]
