[1255, 923]
[chapter-title, [271.0, 22.0, 271.0, 30.0], shoonya_0sTXIFG1JVZLQZ, 5776710]
[paragraph, [67.0, 73.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 91.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 109.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 127.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 145.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 163.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 181.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 199.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 217.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 235.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 253.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [67.0, 271.0, 666.0, 18.0], 18c45kg92h, 5776710]
[paragraph, [68.0, 309.0, 662.0, 18.0], TJzCZtRGCX, 5776710]
[paragraph, [68.0, 327.0, 662.0, 18.0], TJzCZtRGCX, 5776710]
[paragraph, [67.0, 357.0, 377.0, 18.0], 1VS4sWkS2Q, 5776710]
[paragraph, [62.0, 382.0, 627.0, 18.0], xpdlDR9zN0, 5776710]
[paragraph, [62.0, 408.0, 586.0, 18.0], lkoa2G6ABM, 5776710]
[paragraph, [64.0, 430.0, 486.0, 18.0], ckIJ0S7CXX, 5776710]
[paragraph, [66.0, 452.0, 535.0, 18.0], tbk-24nsbr, 5776710]
[paragraph, [66.0, 470.0, 535.0, 18.0], tbk-24nsbr, 5776710]
[paragraph, [67.0, 505.0, 564.0, 18.0], t2ZSBBm6-T, 5776710]
[paragraph, [69.0, 533.0, 658.0, 18.0], 1JfOlAjQpI, 5776710]
[paragraph, [69.0, 551.0, 658.0, 18.0], 1JfOlAjQpI, 5776710]
[paragraph, [69.0, 569.0, 658.0, 18.0], 1JfOlAjQpI, 5776710]
[paragraph, [69.0, 587.0, 658.0, 18.0], 1JfOlAjQpI, 5776710]
[paragraph, [69.0, 605.0, 658.0, 18.0], 1JfOlAjQpI, 5776710]
[paragraph, [69.0, 633.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 651.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 669.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 687.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 705.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 723.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 741.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 759.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 777.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 795.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 813.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [69.0, 831.0, 663.0, 18.0], TtjLoXzcxv, 5776710]
[paragraph, [70.0, 856.0, 542.0, 18.0], 0ipDL-H7bL, 5776710]
[paragraph, [70.0, 874.0, 542.0, 18.0], 0ipDL-H7bL, 5776710]
[paragraph, [70.0, 905.0, 661.0, 18.0], -WYUaExceB, 5776710]
[paragraph, [70.0, 923.0, 661.0, 18.0], -WYUaExceB, 5776710]
[paragraph, [70.0, 955.0, 661.0, 18.0], eplKIn5uw-, 5776710]
[paragraph, [70.0, 973.0, 661.0, 18.0], eplKIn5uw-, 5776710]
[paragraph, [68.0, 1006.0, 284.0, 18.0], uevGvQeSzm, 5776710]
[paragraph, [67.0, 1036.0, 667.0, 18.0], 0U_sCnnpc5, 5776710]
[paragraph, [67.0, 1054.0, 667.0, 18.0], 0U_sCnnpc5, 5776710]
[paragraph, [67.0, 1072.0, 667.0, 18.0], 0U_sCnnpc5, 5776710]
