[842, 595]
[paragraph, [142.0, 98.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 116.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 134.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 152.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 170.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 188.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 206.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 224.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 242.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 260.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 278.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 296.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 314.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 332.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 350.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 368.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 386.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 404.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 422.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 440.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 458.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 476.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 494.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
[paragraph, [142.0, 512.0, 306.0, 18.0], shoonya_0s21OE762MNZKX, 6513122]
