[1650, 1275]
[folio, [143.0, 149.0, 881.0, 36.0], 8rVyHJQYOj, 5706424]
[paragraph, [135.0, 226.0, 374.0, 36.0], Iq-BdlwMXH, 5706424]
[unordered-list, [129.0, 273.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 309.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 345.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 381.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 417.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 453.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 489.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 525.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 561.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 597.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 633.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 669.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 705.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 741.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 777.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 813.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 849.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 885.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 921.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 957.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 993.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 1029.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 1065.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 1101.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 1137.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 1173.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[unordered-list, [129.0, 1209.0, 605.0, 36.0], XZyNLwjQKt, 5706424]
[sub-ordered-list, [143.0, 315.0, 586.0, 36.0], l4jSkX9clL, 5706424]
[sub-ordered-list, [143.0, 351.0, 586.0, 36.0], l4jSkX9clL, 5706424]
[sub-ordered-list, [143.0, 387.0, 586.0, 36.0], l4jSkX9clL, 5706424]
[sub-ordered-list, [143.0, 423.0, 586.0, 36.0], l4jSkX9clL, 5706424]
[sub-ordered-list, [143.0, 459.0, 586.0, 36.0], l4jSkX9clL, 5706424]
[sub-ordered-list, [140.0, 563.0, 392.0, 36.0], I2sr4v1bpb, 5706424]
[sub-ordered-list, [140.0, 599.0, 392.0, 36.0], I2sr4v1bpb, 5706424]
[sub-ordered-list, [140.0, 635.0, 392.0, 36.0], I2sr4v1bpb, 5706424]
[sub-ordered-list, [140.0, 671.0, 392.0, 36.0], I2sr4v1bpb, 5706424]
[sub-ordered-list, [140.0, 707.0, 392.0, 36.0], I2sr4v1bpb, 5706424]
[sub-ordered-list, [137.0, 812.0, 339.0, 36.0], _qoR0w45kW, 5706424]
[sub-ordered-list, [137.0, 848.0, 339.0, 36.0], _qoR0w45kW, 5706424]
[sub-ordered-list, [137.0, 884.0, 339.0, 36.0], _qoR0w45kW, 5706424]
[sub-ordered-list, [137.0, 920.0, 339.0, 36.0], _qoR0w45kW, 5706424]
[sub-ordered-list, [137.0, 956.0, 339.0, 36.0], _qoR0w45kW, 5706424]
[sub-ordered-list, [135.0, 1067.0, 243.0, 36.0], d8P5ug_J43, 5706424]
[sub-ordered-list, [135.0, 1103.0, 243.0, 36.0], d8P5ug_J43, 5706424]
[sub-ordered-list, [135.0, 1139.0, 243.0, 36.0], d8P5ug_J43, 5706424]
[sub-ordered-list, [135.0, 1175.0, 243.0, 36.0], d8P5ug_J43, 5706424]
[sub-ordered-list, [135.0, 1211.0, 243.0, 36.0], d8P5ug_J43, 5706424]
[folio, [338.0, 1429.0, 594.0, 36.0], shoonya_0sAENRC4PK8IVB, 5706424]
