[789, 571]
[section-title, [147.0, 130.0, 279.0, 30.0], I7MspxEexq, 5701882]
[section-title, [147.0, 160.0, 279.0, 30.0], I7MspxEexq, 5701882]
[sub-section-title, [125.0, 202.0, 325.0, 25.5], bgMszXpYTF, 5701882]
[chapter-title, [224.0, 255.0, 124.0, 30.0], shoonya_2s8JZ3LZMOSHAC, 5701882]
[chapter-title, [224.0, 285.0, 124.0, 30.0], shoonya_2s8JZ3LZMOSHAC, 5701882]
[paragraph, [54.0, 317.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 335.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 353.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 371.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 389.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 407.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 425.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 443.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 461.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 479.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 497.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 515.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 533.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 551.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [54.0, 569.0, 462.0, 18.0], shoonya_0sLEGJ5D1Q3J0F, 5701882]
[paragraph, [49.0, 596.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
[paragraph, [49.0, 614.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
[paragraph, [49.0, 632.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
[paragraph, [49.0, 650.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
[paragraph, [49.0, 668.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
[paragraph, [49.0, 686.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
[paragraph, [49.0, 704.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
[paragraph, [49.0, 722.0, 463.0, 18.0], shoonya_1sOPPJUJ78N4JJ, 5701882]
