[1030, 675]
[chapter-title, [260.0, 68.0, 156.0, 30.0], guCoyNjoW_, 5776489]
[paragraph, [71.0, 109.0, 533.0, 18.0], shoonya_1sPF0WB907856X, 5776489]
[paragraph, [71.0, 127.0, 533.0, 18.0], shoonya_1sPF0WB907856X, 5776489]
[paragraph, [71.0, 145.0, 533.0, 18.0], shoonya_1sPF0WB907856X, 5776489]
[paragraph, [71.0, 163.0, 533.0, 18.0], shoonya_1sPF0WB907856X, 5776489]
[paragraph, [71.0, 181.0, 533.0, 18.0], shoonya_1sPF0WB907856X, 5776489]
[paragraph, [71.0, 199.0, 533.0, 18.0], shoonya_1sPF0WB907856X, 5776489]
[paragraph, [69.0, 235.0, 536.0, 18.0], shoonya_0sB70GTFZAUGYI, 5776489]
[paragraph, [69.0, 253.0, 536.0, 18.0], shoonya_0sB70GTFZAUGYI, 5776489]
[paragraph, [69.0, 271.0, 536.0, 18.0], shoonya_0sB70GTFZAUGYI, 5776489]
[paragraph, [69.0, 289.0, 536.0, 18.0], shoonya_0sB70GTFZAUGYI, 5776489]
[paragraph, [69.0, 307.0, 536.0, 18.0], shoonya_0sB70GTFZAUGYI, 5776489]
[paragraph, [69.0, 325.0, 536.0, 18.0], shoonya_0sB70GTFZAUGYI, 5776489]
