[1754, 1241]
[section-title, [356.0, 342.0, 515.0, 49.5], NkPFgrahM2, 5726255]
[section-title, [356.0, 391.5, 515.0, 49.5], NkPFgrahM2, 5726255]
[paragraph, [277.0, 514.0, 692.0, 36.0], wZJOd2kVc5, 5726255]
[paragraph, [277.0, 550.0, 692.0, 36.0], wZJOd2kVc5, 5726255]
[paragraph, [277.0, 586.0, 692.0, 36.0], wZJOd2kVc5, 5726255]
[paragraph, [277.0, 622.0, 692.0, 36.0], wZJOd2kVc5, 5726255]
[paragraph, [277.0, 658.0, 692.0, 36.0], wZJOd2kVc5, 5726255]
[paragraph, [275.0, 743.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 779.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 815.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 851.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 887.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 923.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 959.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 995.0, 695.0, 36.0], yraUSuH9kr, 5726255]
[paragraph, [275.0, 1031.0, 695.0, 36.0], yraUSuH9kr, 5726255]
