[1275, 750]
[folio, [236.0, 81.0, 284.0, 18.0], HkgxU0B3WO, 5767147]
[folio, [236.0, 99.0, 284.0, 18.0], HkgxU0B3WO, 5767147]
[folio, [236.0, 117.0, 284.0, 18.0], HkgxU0B3WO, 5767147]
[paragraph, [60.0, 150.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 168.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 186.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 204.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 222.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 240.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 258.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 276.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 294.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 312.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 330.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 348.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 366.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 384.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 402.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 420.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 438.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 456.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 474.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 492.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 510.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 528.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 546.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 564.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 582.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 600.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 618.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 636.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 654.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 672.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 690.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 708.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 726.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 744.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 762.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 780.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 798.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 816.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 834.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 852.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 870.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 888.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 906.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 924.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 942.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 960.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 978.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 996.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 1014.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 1032.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
[paragraph, [60.0, 1050.0, 621.0, 18.0], shoonya_0sA9MI6OMH2OIT, 5767147]
