[1220, 768]
[folio, [67.0, 102.0, 152.0, 18.0], 7Do8FxWef3, 5770578]
[folio, [67.0, 120.0, 152.0, 18.0], 7Do8FxWef3, 5770578]
[headline, [181.0, 132.0, 398.0, 25.5], shoonya_1sV2J60TU7NZ9C, 5770578]
[headline, [181.0, 157.5, 398.0, 25.5], shoonya_1sV2J60TU7NZ9C, 5770578]
[headline, [181.0, 183.0, 398.0, 25.5], shoonya_1sV2J60TU7NZ9C, 5770578]
[paragraph, [75.0, 231.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 249.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 267.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 285.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 303.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 321.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 339.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 357.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 375.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 393.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 411.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 429.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 447.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 465.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 483.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [75.0, 501.0, 305.0, 18.0], shoonya_0sD4XK4UWS8SQG, 5770578]
[paragraph, [385.0, 243.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 261.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 279.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 297.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 315.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 333.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 351.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 369.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [385.0, 387.0, 315.0, 18.0], IX98z_HMsz, 5770578]
[paragraph, [384.0, 412.0, 315.0, 18.0], 1JgGzOZOS9, 5770578]
[paragraph, [384.0, 430.0, 315.0, 18.0], 1JgGzOZOS9, 5770578]
[paragraph, [384.0, 448.0, 315.0, 18.0], 1JgGzOZOS9, 5770578]
[paragraph, [384.0, 466.0, 315.0, 18.0], 1JgGzOZOS9, 5770578]
[paragraph, [384.0, 484.0, 315.0, 18.0], 1JgGzOZOS9, 5770578]
[paragraph, [384.0, 502.0, 315.0, 18.0], 1JgGzOZOS9, 5770578]
[paragraph, [77.0, 534.0, 303.0, 18.0], fXiiWOgUx9, 5770578]
[paragraph, [77.0, 552.0, 303.0, 18.0], fXiiWOgUx9, 5770578]
[paragraph, [77.0, 570.0, 303.0, 18.0], fXiiWOgUx9, 5770578]
[paragraph, [385.0, 539.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [385.0, 557.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [385.0, 575.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [385.0, 593.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [385.0, 611.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [385.0, 629.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [385.0, 647.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [385.0, 665.0, 317.0, 18.0], VYc2dKtozW, 5770578]
[paragraph, [100.0, 580.0, 279.0, 18.0], XRhDdytYKt, 5770578]
[paragraph, [100.0, 598.0, 279.0, 18.0], XRhDdytYKt, 5770578]
[paragraph, [100.0, 616.0, 279.0, 18.0], XRhDdytYKt, 5770578]
[paragraph, [100.0, 634.0, 279.0, 18.0], XRhDdytYKt, 5770578]
[paragraph, [100.0, 652.0, 279.0, 18.0], XRhDdytYKt, 5770578]
[paragraph, [85.0, 671.0, 301.0, 18.0], ue5GzIl-m4, 5770578]
[paragraph, [85.0, 689.0, 301.0, 18.0], ue5GzIl-m4, 5770578]
[paragraph, [85.0, 707.0, 301.0, 18.0], ue5GzIl-m4, 5770578]
[paragraph, [85.0, 725.0, 301.0, 18.0], ue5GzIl-m4, 5770578]
[paragraph, [390.0, 704.0, 309.0, 18.0], aV6BBmWqBq, 5770578]
[paragraph, [390.0, 722.0, 309.0, 18.0], aV6BBmWqBq, 5770578]
[paragraph, [390.0, 740.0, 309.0, 18.0], aV6BBmWqBq, 5770578]
[paragraph, [390.0, 758.0, 309.0, 18.0], aV6BBmWqBq, 5770578]
[paragraph, [117.0, 763.0, 268.0, 18.0], 6O9dlk1MXr, 5770578]
[paragraph, [117.0, 781.0, 268.0, 18.0], 6O9dlk1MXr, 5770578]
[paragraph, [117.0, 799.0, 268.0, 18.0], 6O9dlk1MXr, 5770578]
[paragraph, [117.0, 817.0, 268.0, 18.0], 6O9dlk1MXr, 5770578]
[paragraph, [117.0, 835.0, 268.0, 18.0], 6O9dlk1MXr, 5770578]
[paragraph, [385.0, 781.0, 242.0, 18.0], dDlKHwH4Mb, 5770578]
[paragraph, [411.0, 802.0, 278.0, 18.0], ce2BYwesfg, 5770578]
[paragraph, [411.0, 820.0, 278.0, 18.0], ce2BYwesfg, 5770578]
[paragraph, [402.0, 843.0, 291.0, 18.0], 2ClFYVcXnV, 5770578]
[paragraph, [393.0, 876.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 894.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 912.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 930.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 948.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 966.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 984.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 1002.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 1020.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 1038.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 1056.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 1074.0, 302.0, 18.0], Us24FHFUv5, 5770578]
[paragraph, [393.0, 1092.0, 302.0, 18.0], Us24FHFUv5, 5770578]
