[1267, 753]
[folio, [317.0, 75.0, 109.0, 18.0], shoonya_1s0G2JN8KVN3ZY, 5700208]
[paragraph, [76.0, 116.0, 595.0, 18.0], shoonya_2sQ3EMFO32UVU3, 5700208]
[paragraph, [76.0, 134.0, 595.0, 18.0], shoonya_2sQ3EMFO32UVU3, 5700208]
[paragraph, [76.0, 152.0, 595.0, 18.0], shoonya_2sQ3EMFO32UVU3, 5700208]
[paragraph, [72.0, 190.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 208.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 226.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 244.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 262.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 280.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 298.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 316.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 334.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 352.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 370.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 388.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 406.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 424.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 442.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 460.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 478.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 496.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 514.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 532.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 550.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 568.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 586.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 604.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 622.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 640.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 658.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 676.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 694.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 712.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 730.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 748.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 766.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 784.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 802.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 820.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 838.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 856.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 874.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 892.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 910.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 928.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
[paragraph, [72.0, 946.0, 601.0, 18.0], shoonya_0s01V578YUAW1T, 5700208]
