[1074, 720]
[paragraph, [64.0, 114.0, 603.0, 18.0], shoonya_1sL6VWDQYQFRT9, 5711155]
[paragraph, [64.0, 132.0, 603.0, 18.0], shoonya_1sL6VWDQYQFRT9, 5711155]
[paragraph, [64.0, 150.0, 603.0, 18.0], shoonya_1sL6VWDQYQFRT9, 5711155]
[paragraph, [64.0, 168.0, 603.0, 18.0], shoonya_1sL6VWDQYQFRT9, 5711155]
[paragraph, [64.0, 186.0, 603.0, 18.0], shoonya_1sL6VWDQYQFRT9, 5711155]
[paragraph, [62.0, 213.0, 603.0, 18.0], KPFc5ZIbAK, 5711155]
[paragraph, [62.0, 231.0, 603.0, 18.0], KPFc5ZIbAK, 5711155]
[paragraph, [62.0, 249.0, 603.0, 18.0], KPFc5ZIbAK, 5711155]
[paragraph, [66.0, 279.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 297.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 315.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 333.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 351.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 369.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 387.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 405.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 423.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 441.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 459.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 477.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 495.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 513.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 531.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 549.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 567.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 585.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[paragraph, [66.0, 603.0, 475.0, 18.0], U5enGdjwHg, 5711155]
[figure-caption, [545.0, 529.0, 79.0, 18.0], M4EVUDQZRM, 5711155]
[paragraph, [69.0, 621.0, 583.0, 18.0], YHHNqsTbiU, 5711155]
[paragraph, [201.0, 654.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 672.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 690.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 708.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 726.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 744.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 762.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 780.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 798.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 816.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 834.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 852.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 870.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 888.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 906.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 924.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[paragraph, [201.0, 942.0, 457.0, 18.0], jFEAkDYNOM, 5711155]
[figure-caption, [96.0, 914.0, 87.0, 18.0], 3yMRQFEXO0, 5711155]
[paragraph, [59.0, 968.0, 597.0, 18.0], -_rbLNmi73, 5711155]
