[1545, 2000]
[section-title, [35.0, 125.0, 262.0, 49.5], TPZOLNuCTA, 6532438]
[paragraph, [32.0, 230.0, 569.0, 36.0], JK6UE-jNgy, 6532438]
[paragraph, [32.0, 266.0, 569.0, 36.0], JK6UE-jNgy, 6532438]
[paragraph, [32.0, 302.0, 569.0, 36.0], JK6UE-jNgy, 6532438]
[paragraph, [32.0, 338.0, 569.0, 36.0], JK6UE-jNgy, 6532438]
[paragraph, [32.0, 374.0, 569.0, 36.0], JK6UE-jNgy, 6532438]
[section-title, [1391.0, 607.0, 493.0, 49.5], shoonya_0sPK1THWP6CAFD, 6532438]
[section-title, [1391.0, 656.5, 493.0, 49.5], shoonya_0sPK1THWP6CAFD, 6532438]
[sub-section-title, [1395.0, 777.0, 260.0, 36.0], 4y844nmojP, 6532438]
[paragraph, [1395.0, 837.0, 557.0, 36.0], fjt2ENGS2r, 6532438]
[paragraph, [1395.0, 873.0, 557.0, 36.0], fjt2ENGS2r, 6532438]
[paragraph, [1395.0, 909.0, 557.0, 36.0], fjt2ENGS2r, 6532438]
[paragraph, [1395.0, 945.0, 557.0, 36.0], fjt2ENGS2r, 6532438]
[sub-section-title, [1395.0, 1022.0, 262.0, 36.0], MdpnVCbs7C, 6532438]
[paragraph, [1392.0, 1085.0, 560.0, 36.0], crdH9YSmHT, 6532438]
[paragraph, [1392.0, 1121.0, 560.0, 36.0], crdH9YSmHT, 6532438]
[paragraph, [1392.0, 1157.0, 560.0, 36.0], crdH9YSmHT, 6532438]
[paragraph, [1392.0, 1193.0, 560.0, 36.0], crdH9YSmHT, 6532438]
[paragraph, [760.0, 1099.0, 502.0, 36.0], NGwa-OBjyj, 6532438]
[paragraph, [760.0, 1135.0, 502.0, 36.0], NGwa-OBjyj, 6532438]
[paragraph, [760.0, 1171.0, 502.0, 36.0], NGwa-OBjyj, 6532438]
[paragraph, [760.0, 1207.0, 502.0, 36.0], NGwa-OBjyj, 6532438]
[paragraph, [760.0, 1243.0, 502.0, 36.0], NGwa-OBjyj, 6532438]
[paragraph, [760.0, 1279.0, 502.0, 36.0], NGwa-OBjyj, 6532438]
[sub-section-title, [1392.0, 1277.0, 265.0, 36.0], qpaqpmOnge, 6532438]
[paragraph, [1402.0, 1329.0, 542.0, 36.0], jzz4JAR0zc, 6532438]
[paragraph, [1402.0, 1365.0, 542.0, 36.0], jzz4JAR0zc, 6532438]
[paragraph, [1402.0, 1401.0, 542.0, 36.0], jzz4JAR0zc, 6532438]
[paragraph, [1402.0, 1437.0, 542.0, 36.0], jzz4JAR0zc, 6532438]
