[1387, 987]
[paragraph, [85.0, 98.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 116.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 134.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 152.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 170.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 188.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 206.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 224.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [85.0, 242.0, 778.0, 18.0], shoonya_2sPC5C4BXUY6ZB, 5652152]
[paragraph, [79.0, 271.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 289.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 307.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 325.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 343.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 361.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 379.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 397.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 415.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 433.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 451.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 469.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 487.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 505.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 523.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [79.0, 541.0, 808.0, 18.0], shoonya_0sRXK2KKHCNPOJ, 5652152]
[paragraph, [89.0, 562.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 580.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 598.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 616.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 634.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 652.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 670.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 688.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 706.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 724.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 742.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 760.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 778.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 796.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 814.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 832.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 850.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 868.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 886.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 904.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 922.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 940.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 958.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 976.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 994.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 1012.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 1030.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
[paragraph, [89.0, 1048.0, 799.0, 18.0], shoonya_3s73BEYJGKE5DX, 5652152]
