[1650, 1050]
[paragraph, [104.0, 104.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 140.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 176.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 212.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 248.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 284.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 320.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 356.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 392.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 428.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [104.0, 464.0, 829.0, 36.0], shoonya_1sQ86TA8Y0KT54, 5732748]
[paragraph, [99.0, 665.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 701.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 737.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 773.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 809.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 845.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 881.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 917.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 953.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 989.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1025.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1061.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1097.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1133.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1169.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1205.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1241.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1277.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1313.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1349.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[paragraph, [99.0, 1385.0, 834.0, 36.0], shoonya_0sORLUJO1HSCVU, 5732748]
[folio, [413.0, 1502.0, 147.0, 36.0], shoonya_4sQZAHATMAGJLB, 5732748]
