[3509, 2480]
[paragraph, [353.0, 395.0, 1788.0, 52.5], shoonya_0sIJBKZDVNFGLH, 5723692]
[paragraph, [353.0, 447.5, 1788.0, 52.5], shoonya_0sIJBKZDVNFGLH, 5723692]
[paragraph, [353.0, 500.0, 1788.0, 52.5], shoonya_0sIJBKZDVNFGLH, 5723692]
[paragraph, [353.0, 552.5, 1788.0, 52.5], shoonya_0sIJBKZDVNFGLH, 5723692]
[paragraph, [352.0, 656.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 708.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 761.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 813.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 866.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 918.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 971.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1023.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1076.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1128.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1181.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1233.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1286.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1338.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1391.0, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [352.0, 1443.5, 1783.0, 52.5], WLdxzsce9x, 5723692]
[paragraph, [346.0, 1573.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1625.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1678.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1730.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1783.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1835.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1888.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1940.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 1993.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2045.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2098.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2150.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2203.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2255.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2308.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2360.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2413.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2465.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2518.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2570.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2623.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2675.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2728.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2780.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2833.0, 1801.0, 52.5], OPTRaEHHXR, 5723692]
[paragraph, [346.0, 2885.5, 1801.0, 52.5], OPTRaEHHXR, 5723692]
