[2250, 1750]
[paragraph, [94.0, 97.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 133.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 169.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 205.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 241.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 277.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 313.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 349.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [94.0, 385.0, 709.0, 36.0], shoonya_3s7290MKWJJV4F, 5752516]
[paragraph, [888.0, 97.0, 707.0, 36.0], shoonya_12sXYXH2EYVBT1, 5752516]
[paragraph, [888.0, 133.0, 707.0, 36.0], shoonya_12sXYXH2EYVBT1, 5752516]
[paragraph, [884.0, 193.0, 715.0, 36.0], lD3GsPVMk5, 5752516]
[paragraph, [884.0, 229.0, 715.0, 36.0], lD3GsPVMk5, 5752516]
[paragraph, [887.0, 283.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
[paragraph, [887.0, 319.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
[paragraph, [887.0, 355.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
[paragraph, [887.0, 391.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
[paragraph, [887.0, 427.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
[paragraph, [887.0, 463.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
[paragraph, [887.0, 499.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
[paragraph, [887.0, 535.0, 709.0, 36.0], shoonya_0sMTXW5DEYOQZC, 5752516]
