[1754, 1241]
[contact-info, [262.0, 96.0, 696.0, 36.0], shoonya_2s6Q9C8S578PRD, 5718017]
[contact-info, [262.0, 132.0, 696.0, 36.0], shoonya_2s6Q9C8S578PRD, 5718017]
[contact-info, [262.0, 168.0, 696.0, 36.0], shoonya_2s6Q9C8S578PRD, 5718017]
[contact-info, [262.0, 204.0, 696.0, 36.0], shoonya_2s6Q9C8S578PRD, 5718017]
[contact-info, [262.0, 240.0, 696.0, 36.0], shoonya_2s6Q9C8S578PRD, 5718017]
[folio, [203.0, 298.0, 801.0, 36.0], shoonya_3sVJVVYLK9L93X, 5718017]
[folio, [203.0, 334.0, 801.0, 36.0], shoonya_3sVJVVYLK9L93X, 5718017]
[folio, [203.0, 370.0, 801.0, 36.0], shoonya_3sVJVVYLK9L93X, 5718017]
[folio, [203.0, 406.0, 801.0, 36.0], shoonya_3sVJVVYLK9L93X, 5718017]
[folio, [203.0, 442.0, 801.0, 36.0], shoonya_3sVJVVYLK9L93X, 5718017]
[contact-info, [159.0, 495.0, 908.0, 36.0], shoonya_5sYD21EA0Z9ZOC, 5718017]
[contact-info, [159.0, 531.0, 908.0, 36.0], shoonya_5sYD21EA0Z9ZOC, 5718017]
[contact-info, [159.0, 567.0, 908.0, 36.0], shoonya_5sYD21EA0Z9ZOC, 5718017]
[contact-info, [159.0, 603.0, 908.0, 36.0], shoonya_5sYD21EA0Z9ZOC, 5718017]
[reference, [114.0, 787.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 823.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 859.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 895.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 931.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 967.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1003.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1039.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1075.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1111.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1147.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1183.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1219.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1255.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1291.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1327.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1363.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1399.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1435.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1471.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
[reference, [114.0, 1507.0, 936.0, 36.0], LH4LlkG0ra, 5718017]
