[1275, 829]
[paragraph, [32.0, 33.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 51.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 69.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 87.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 105.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 123.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 141.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 159.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 177.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 195.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 213.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 231.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 249.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 267.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 285.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 303.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 321.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 339.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 357.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 375.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 393.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 411.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 429.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 447.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 465.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 483.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 501.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 519.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 537.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 555.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 573.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 591.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 609.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 627.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 645.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 663.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 681.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 699.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 717.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 735.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 753.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [32.0, 771.0, 779.0, 18.0], shoonya_1s2T3TYODUAP4D, 5750333]
[paragraph, [36.0, 794.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 812.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 830.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 848.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 866.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 884.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 902.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 920.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 938.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 956.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [36.0, 974.0, 769.0, 18.0], shoonya_0sPX3TO9LJSXD2, 5750333]
[paragraph, [138.0, 992.0, 470.0, 18.0], shoonya_4sUKPEFP2E64SR, 5750333]
[paragraph, [138.0, 1010.0, 470.0, 18.0], shoonya_4sUKPEFP2E64SR, 5750333]
[paragraph, [33.0, 1034.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1052.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1070.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1088.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1106.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1124.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1142.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1160.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
[paragraph, [33.0, 1178.0, 767.0, 18.0], shoonya_3s35FYTXVNJFRC, 5750333]
