[1754, 1241]
[ordered-list, [100.0, 99.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 135.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 171.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 207.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 243.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 279.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 315.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 351.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 387.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 423.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 459.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 495.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 531.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 567.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 603.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 639.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 675.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 711.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 747.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 783.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 819.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 855.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 891.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 927.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 963.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 999.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1035.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1071.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1107.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1143.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1179.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1215.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1251.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1287.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
[ordered-list, [100.0, 1323.0, 1053.0, 36.0], txiT9H0UN_, 5709344]
