[1050, 693]
[paragraph, [81.0, 120.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 138.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 156.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 174.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 192.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 210.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 228.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 246.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [81.0, 264.0, 525.0, 18.0], shoonya_1sSULPUUMB3IAH, 5702506]
[paragraph, [83.0, 284.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 302.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 320.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 338.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 356.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 374.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 392.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 410.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 428.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 446.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 464.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 482.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 500.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 518.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [83.0, 536.0, 523.0, 18.0], shoonya_2sPFKVKRW2I1PT, 5702506]
[paragraph, [85.0, 568.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 586.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 604.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 622.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 640.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 658.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 676.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 694.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 712.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [85.0, 730.0, 524.0, 18.0], shoonya_0sWQIF4QQQR5PQ, 5702506]
[paragraph, [81.0, 756.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 774.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 792.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 810.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 828.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 846.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 864.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 882.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 900.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 918.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
[paragraph, [81.0, 936.0, 531.0, 18.0], V4jmRAHnqe, 5702506]
