[842, 596]
[section-title, [54.0, 69.0, 170.0, 30.0], shoonya_2sW72DVZ86MV9O, 5715578]
[paragraph, [66.0, 118.0, 461.0, 18.0], shoonya_0s9ZY0MUZFO3A0, 5715578]
[paragraph, [80.0, 184.0, 460.0, 18.0], shoonya_1s5KBCU17TS8QX, 5715578]
[paragraph, [80.0, 202.0, 460.0, 18.0], shoonya_1s5KBCU17TS8QX, 5715578]
[unordered-list, [58.0, 221.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 239.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 257.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 275.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 293.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 311.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 329.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 347.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 365.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 383.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 401.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 419.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 437.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 455.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 473.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 491.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 509.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 527.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 545.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[unordered-list, [58.0, 563.0, 489.0, 18.0], shoonya_7s1NJFC8X14BJ3, 5715578]
[paragraph, [62.0, 605.0, 477.0, 18.0], b5vzujrc5N, 5715578]
[paragraph, [62.0, 623.0, 477.0, 18.0], b5vzujrc5N, 5715578]
[paragraph, [91.0, 671.0, 448.0, 18.0], Eyok9yXjdY, 5715578]
[paragraph, [91.0, 689.0, 448.0, 18.0], Eyok9yXjdY, 5715578]
[folio, [399.0, 785.0, 119.0, 18.0], s9vRTJR9jk, 5715578]
