[1388, 886]
[folio, [34.0, 64.0, 158.0, 18.0], ugdHxxYLD2, 5742674]
[folio, [34.0, 82.0, 158.0, 18.0], ugdHxxYLD2, 5742674]
[folio, [377.0, 70.0, 124.0, 18.0], shoonya_0sO9I0MWWUXKJ5, 5742674]
[paragraph, [24.0, 110.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 128.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 146.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 164.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 182.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 200.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 218.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 236.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 254.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 272.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 290.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 308.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 326.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 344.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 362.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 380.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 398.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 416.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 434.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 452.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 470.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 488.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 506.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 524.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 542.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 560.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
[paragraph, [24.0, 578.0, 407.0, 18.0], rJM7iNmjZm, 5742674]
