[1063, 680]
[paragraph, [67.0, 151.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 169.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 187.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 205.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 223.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 241.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 259.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 277.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 295.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 313.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 331.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 349.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 367.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 385.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 403.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 421.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 439.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 457.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 475.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 493.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 511.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 529.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 547.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 565.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 583.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 601.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 619.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 637.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 655.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 673.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 691.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 709.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 727.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 745.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 763.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 781.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 799.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 817.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 835.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 853.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 871.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 889.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 907.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 925.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 943.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 961.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[paragraph, [67.0, 979.0, 547.0, 18.0], e2vej_HM6z, 5740009]
[footnote, [462.0, 1015.0, 173.0, 18.0], shoonya_0sMCVNIPTL78U1, 5740009]
