[1755, 1240]
[paragraph, [216.0, 143.0, 895.0, 36.0], shoonya_2sEM6QP2LPJXY8, 5693557]
[paragraph, [216.0, 179.0, 895.0, 36.0], shoonya_2sEM6QP2LPJXY8, 5693557]
[paragraph, [216.0, 215.0, 895.0, 36.0], shoonya_2sEM6QP2LPJXY8, 5693557]
[paragraph, [211.0, 264.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 300.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 336.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 372.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 408.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 444.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 480.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 516.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 552.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 588.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 624.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 660.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 696.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 732.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 768.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 804.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 840.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 876.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 912.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 948.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 984.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1020.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1056.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1092.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1128.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1164.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1200.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1236.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [211.0, 1272.0, 904.0, 36.0], shoonya_1sJ2RB0GEY5U2Y, 5693557]
[paragraph, [217.0, 1327.0, 887.0, 36.0], shoonya_0sLYE9AMJX0KIT, 5693557]
[paragraph, [217.0, 1363.0, 887.0, 36.0], shoonya_0sLYE9AMJX0KIT, 5693557]
[paragraph, [217.0, 1399.0, 887.0, 36.0], shoonya_0sLYE9AMJX0KIT, 5693557]
[paragraph, [217.0, 1435.0, 887.0, 36.0], shoonya_0sLYE9AMJX0KIT, 5693557]
[paragraph, [217.0, 1471.0, 887.0, 36.0], shoonya_0sLYE9AMJX0KIT, 5693557]
[paragraph, [217.0, 1507.0, 887.0, 36.0], shoonya_0sLYE9AMJX0KIT, 5693557]
