[1372, 849]
[section-title, [291.0, 60.0, 271.0, 30.0], shoonya_1sF3D174TG4J50, 5710130]
[paragraph, [38.0, 128.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 146.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 164.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 182.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 200.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 218.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 236.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 254.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 272.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 290.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 308.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 326.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 344.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 362.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 380.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 398.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 416.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 434.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 452.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 470.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 488.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 506.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 524.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 542.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [38.0, 560.0, 760.0, 18.0], shoonya_2s94MS0U3V42WF, 5710130]
[paragraph, [35.0, 585.0, 757.0, 18.0], shoonya_4s5WSKXLKAIUMR, 5710130]
[paragraph, [35.0, 603.0, 757.0, 18.0], shoonya_4s5WSKXLKAIUMR, 5710130]
[paragraph, [35.0, 621.0, 757.0, 18.0], shoonya_4s5WSKXLKAIUMR, 5710130]
[paragraph, [35.0, 639.0, 757.0, 18.0], shoonya_4s5WSKXLKAIUMR, 5710130]
