[1300, 900]
[folio, [317.0, 33.0, 262.0, 18.0], SLZmadjYJf, 5731650]
[paragraph, [86.0, 94.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 112.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 130.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 148.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 166.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 184.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 202.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 220.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 238.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 256.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 274.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 292.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 310.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 328.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 346.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 364.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 382.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 400.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 418.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 436.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 454.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 472.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 490.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 508.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [86.0, 526.0, 717.0, 18.0], shoonya_0s4S56PJWJ671W, 5731650]
[paragraph, [79.0, 563.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 581.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 599.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 617.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 635.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 653.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 671.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 689.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 707.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 725.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 743.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 761.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 779.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 797.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 815.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 833.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 851.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
[paragraph, [79.0, 869.0, 719.0, 18.0], shoonya_1s5RDKO2489VW6, 5731650]
