[2177, 1466]
[folio, [148.0, 137.0, 179.0, 36.0], bkYW1MJS21, 5655044]
[paragraph, [143.0, 248.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 284.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 320.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 356.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 392.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 428.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 464.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 500.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 536.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 572.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 608.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 644.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 680.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [143.0, 716.0, 1166.0, 36.0], shoonya_0s7JT7WL7C1I8P, 5655044]
[paragraph, [144.0, 799.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 835.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 871.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 907.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 943.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 979.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 1015.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 1051.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 1087.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 1123.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 1159.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [144.0, 1195.0, 1166.0, 36.0], shoonya_1sN93WWXY4YFZW, 5655044]
[paragraph, [146.0, 1272.0, 1166.0, 36.0], shoonya_4sAMXW54M7DNDS, 5655044]
[paragraph, [146.0, 1308.0, 1166.0, 36.0], shoonya_4sAMXW54M7DNDS, 5655044]
[paragraph, [146.0, 1344.0, 1166.0, 36.0], shoonya_4sAMXW54M7DNDS, 5655044]
[paragraph, [146.0, 1380.0, 1166.0, 36.0], shoonya_4sAMXW54M7DNDS, 5655044]
[paragraph, [146.0, 1416.0, 1166.0, 36.0], shoonya_4sAMXW54M7DNDS, 5655044]
[paragraph, [146.0, 1452.0, 1166.0, 36.0], shoonya_4sAMXW54M7DNDS, 5655044]
[paragraph, [151.0, 1615.0, 1163.0, 36.0], shoonya_5s41T2P4WA62E8, 5655044]
[paragraph, [151.0, 1651.0, 1163.0, 36.0], shoonya_5s41T2P4WA62E8, 5655044]
[paragraph, [151.0, 1687.0, 1163.0, 36.0], shoonya_5s41T2P4WA62E8, 5655044]
[paragraph, [151.0, 1723.0, 1163.0, 36.0], shoonya_5s41T2P4WA62E8, 5655044]
[paragraph, [151.0, 1759.0, 1163.0, 36.0], shoonya_5s41T2P4WA62E8, 5655044]
[reference, [149.0, 1871.0, 1160.0, 36.0], shoonya_3sW9TGBHZETNQ8, 5655044]
[reference, [149.0, 1907.0, 1160.0, 36.0], shoonya_3sW9TGBHZETNQ8, 5655044]
[reference, [149.0, 1943.0, 1160.0, 36.0], shoonya_3sW9TGBHZETNQ8, 5655044]
[reference, [149.0, 1979.0, 1160.0, 36.0], shoonya_3sW9TGBHZETNQ8, 5655044]
