[5478, 3644]
[folio, [284.0, 533.0, 900.0, 52.5], MIW51coZw7, 5710230]
[folio, [284.0, 585.5, 900.0, 52.5], MIW51coZw7, 5710230]
[paragraph, [225.0, 735.0, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 787.5, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 840.0, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 892.5, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 945.0, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 997.5, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1050.0, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1102.5, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1155.0, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1207.5, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1260.0, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1312.5, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1365.0, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [225.0, 1417.5, 2692.0, 52.5], SR7-K-EEvb, 5710230]
[paragraph, [284.0, 1521.0, 2614.0, 52.5], DmtnANqehF, 5710230]
[paragraph, [284.0, 1573.5, 2614.0, 52.5], DmtnANqehF, 5710230]
[paragraph, [284.0, 1626.0, 2614.0, 52.5], DmtnANqehF, 5710230]
[paragraph, [284.0, 1678.5, 2614.0, 52.5], DmtnANqehF, 5710230]
[paragraph, [284.0, 1731.0, 2614.0, 52.5], DmtnANqehF, 5710230]
[paragraph, [284.0, 1783.5, 2614.0, 52.5], DmtnANqehF, 5710230]
[paragraph, [284.0, 1836.0, 2614.0, 52.5], DmtnANqehF, 5710230]
[quote, [491.0, 1925.0, 1043.0, 52.5], p5FvpIH_6t, 5710230]
[quote, [491.0, 1977.5, 1043.0, 52.5], p5FvpIH_6t, 5710230]
[paragraph, [298.0, 2058.0, 2568.0, 52.5], Ch64III7kh, 5710230]
[paragraph, [298.0, 2110.5, 2568.0, 52.5], Ch64III7kh, 5710230]
[paragraph, [298.0, 2163.0, 2568.0, 52.5], Ch64III7kh, 5710230]
[paragraph, [298.0, 2215.5, 2568.0, 52.5], Ch64III7kh, 5710230]
[paragraph, [377.0, 2302.0, 2527.0, 52.5], LYc9soZVkW, 5710230]
[paragraph, [377.0, 2354.5, 2527.0, 52.5], LYc9soZVkW, 5710230]
[quote, [265.0, 2443.0, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2495.5, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2548.0, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2600.5, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2653.0, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2705.5, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2758.0, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2810.5, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2863.0, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2915.5, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 2968.0, 2689.0, 52.5], sWRUu8wulg, 5710230]
[quote, [265.0, 3020.5, 2689.0, 52.5], sWRUu8wulg, 5710230]
[paragraph, [317.0, 3106.0, 2587.0, 52.5], UAIxH6gbww, 5710230]
[paragraph, [317.0, 3158.5, 2587.0, 52.5], UAIxH6gbww, 5710230]
[paragraph, [317.0, 3211.0, 2587.0, 52.5], UAIxH6gbww, 5710230]
[paragraph, [317.0, 3263.5, 2587.0, 52.5], UAIxH6gbww, 5710230]
[quote, [441.0, 3336.0, 2472.0, 52.5], kus5J1lqDp, 5710230]
[quote, [441.0, 3388.5, 2472.0, 52.5], kus5J1lqDp, 5710230]
[paragraph, [298.0, 3462.0, 2629.0, 52.5], uBE6sSlFc4, 5710230]
[paragraph, [298.0, 3514.5, 2629.0, 52.5], uBE6sSlFc4, 5710230]
[paragraph, [289.0, 3593.0, 2591.0, 52.5], E3ufTM62pZ, 5710230]
[paragraph, [289.0, 3645.5, 2591.0, 52.5], E3ufTM62pZ, 5710230]
[paragraph, [289.0, 3698.0, 2591.0, 52.5], E3ufTM62pZ, 5710230]
[paragraph, [289.0, 3750.5, 2591.0, 52.5], E3ufTM62pZ, 5710230]
[paragraph, [289.0, 3803.0, 2591.0, 52.5], E3ufTM62pZ, 5710230]
[paragraph, [266.0, 3869.0, 2614.0, 52.5], -jV7-L8AaN, 5710230]
[paragraph, [266.0, 3921.5, 2614.0, 52.5], -jV7-L8AaN, 5710230]
[paragraph, [266.0, 3974.0, 2614.0, 52.5], -jV7-L8AaN, 5710230]
[paragraph, [266.0, 4026.5, 2614.0, 52.5], -jV7-L8AaN, 5710230]
[quote, [496.0, 4145.0, 634.0, 52.5], c1QeSOjk9R, 5710230]
[quote, [496.0, 4197.5, 634.0, 52.5], c1QeSOjk9R, 5710230]
[paragraph, [541.0, 4270.0, 1097.0, 52.5], shoonya_1sI4KYTGISBUEC, 5710230]
[paragraph, [541.0, 4322.5, 1097.0, 52.5], shoonya_1sI4KYTGISBUEC, 5710230]
[quote, [284.0, 4365.0, 2573.0, 52.5], 2MpyMeFqLV, 5710230]
[quote, [284.0, 4417.5, 2573.0, 52.5], 2MpyMeFqLV, 5710230]
[quote, [284.0, 4470.0, 2573.0, 52.5], 2MpyMeFqLV, 5710230]
[quote, [284.0, 4522.5, 2573.0, 52.5], 2MpyMeFqLV, 5710230]
[quote, [284.0, 4575.0, 2573.0, 52.5], 2MpyMeFqLV, 5710230]
[paragraph, [510.0, 4687.0, 863.0, 52.5], IjiI1I6e6S, 5710230]
[paragraph, [510.0, 4739.5, 863.0, 52.5], IjiI1I6e6S, 5710230]
