[792, 612]
[section-title, [167.0, 165.0, 144.0, 30.0], ISZAzHE_94, 6515536]
[paragraph, [168.0, 238.0, 305.0, 18.0], pO89AqYQ6M, 6515536]
[paragraph, [168.0, 256.0, 305.0, 18.0], pO89AqYQ6M, 6515536]
[paragraph, [168.0, 274.0, 305.0, 18.0], pO89AqYQ6M, 6515536]
[paragraph, [172.0, 296.0, 303.0, 18.0], ibzGqJx4NC, 6515536]
[paragraph, [172.0, 314.0, 303.0, 18.0], ibzGqJx4NC, 6515536]
[paragraph, [172.0, 332.0, 303.0, 18.0], ibzGqJx4NC, 6515536]
[paragraph, [172.0, 350.0, 303.0, 18.0], ibzGqJx4NC, 6515536]
[paragraph, [172.0, 368.0, 303.0, 18.0], ibzGqJx4NC, 6515536]
[paragraph, [205.0, 395.0, 267.0, 18.0], Fr0StP-ovG, 6515536]
[paragraph, [205.0, 413.0, 267.0, 18.0], Fr0StP-ovG, 6515536]
[paragraph, [204.0, 460.0, 268.0, 18.0], Sak_dxSrWo, 6515536]
[paragraph, [204.0, 478.0, 268.0, 18.0], Sak_dxSrWo, 6515536]
[paragraph, [204.0, 496.0, 268.0, 18.0], Sak_dxSrWo, 6515536]
[paragraph, [197.0, 524.0, 91.0, 18.0], HqlEunKNR0, 6515536]
