[2339, 1654]
[folio, [1327.0, 68.0, 244.0, 36.0], shoonya_2s4GTQ1LOQVUSV, 5750668]
[paragraph, [121.0, 128.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 164.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 200.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 236.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 272.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 308.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 344.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 380.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 416.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 452.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 488.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 524.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 560.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 596.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 632.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 668.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 704.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 740.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [121.0, 776.0, 1457.0, 36.0], shoonya_4sJYF61TPTIKCB, 5750668]
[paragraph, [267.0, 831.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 867.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 903.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 939.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 975.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1011.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1047.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1083.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1119.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1155.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1191.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1227.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1263.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1299.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1335.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1371.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1407.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1443.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1479.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1515.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1551.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1587.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1623.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1659.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1695.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1731.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1767.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1803.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1839.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1875.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1911.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1947.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 1983.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 2019.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[paragraph, [267.0, 2055.0, 1145.0, 36.0], shoonya_1s5K1KW5CMLSHV, 5750668]
[reference, [1017.0, 2113.0, 387.0, 36.0], shoonya_0sOL9EW2AMM4JD, 5750668]
[paragraph, [209.0, 2165.0, 1357.0, 36.0], ig1KeVI31h, 5750668]
[paragraph, [209.0, 2201.0, 1357.0, 36.0], ig1KeVI31h, 5750668]
