[842, 596]
[folio, [59.0, 30.0, 94.0, 18.0], bc6tck-oZr, 6464747]
[website-link, [397.0, 30.0, 134.0, 18.0], 73IryVUhER, 6464747]
[paragraph, [123.0, 67.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 85.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 103.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 121.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 139.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 157.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 175.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 193.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 211.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 229.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 247.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 265.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 283.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 301.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 319.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 337.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 355.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 373.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 391.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 409.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 427.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 445.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 463.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 481.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 499.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 517.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 535.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 553.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 571.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 589.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 607.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 625.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 643.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 661.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 679.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 697.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
[paragraph, [123.0, 715.0, 317.0, 18.0], shoonya_1sKX8E19RGEYKR, 6464747]
