[2339, 1654]
[folio, [1312.0, 39.0, 236.0, 36.0], 3g5XhSXLUW, 5751196]
[paragraph, [78.0, 87.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 123.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 159.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 195.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 231.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 267.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 303.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 339.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 375.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 411.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 447.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 483.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 519.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 555.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 591.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 627.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 663.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 699.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 735.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 771.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 807.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 843.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 879.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 915.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 951.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 987.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1023.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1059.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1095.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1131.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1167.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1203.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1239.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1275.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1311.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1347.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1383.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1419.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1455.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1491.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1527.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1563.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1599.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1635.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1671.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1707.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1743.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1779.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1815.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1851.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1887.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1923.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1959.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 1995.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 2031.0, 1490.0, 36.0], STzElNzl01, 5751196]
[paragraph, [78.0, 2067.0, 1490.0, 36.0], STzElNzl01, 5751196]
[reference, [113.0, 2177.0, 559.0, 36.0], yo-GKFZZ85, 5751196]
