[2200, 1700]
[paragraph, [299.0, 66.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 102.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 138.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 174.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 210.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 246.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 282.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 318.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 354.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 390.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 426.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 462.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[paragraph, [299.0, 498.0, 1097.0, 36.0], shoonya_2s7W5OLD4UKNV9, 5730593]
[section-title, [305.0, 562.0, 331.0, 52.5], shoonya_3sWEB0M2231WY4, 5730593]
[paragraph, [304.0, 625.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 661.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 697.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 733.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 769.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 805.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 841.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 877.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 913.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 949.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 985.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 1021.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 1057.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 1093.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 1129.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 1165.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [304.0, 1201.0, 1097.0, 36.0], shoonya_1s1SHEJTA18X2X, 5730593]
[paragraph, [312.0, 1251.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1287.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1323.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1359.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1395.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1431.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1467.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1503.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1539.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1575.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1611.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1647.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1683.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1719.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1755.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1791.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1827.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1863.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[paragraph, [312.0, 1899.0, 1097.0, 36.0], shoonya_0sL19LVJURJC9P, 5730593]
[folio, [921.0, 2008.0, 403.0, 36.0], 7u5SM6hTm6, 5730593]
