[2806, 1983]
[paragraph, [217.0, 234.0, 1549.0, 46.5], shoonya_0sWK7OIGOF27Z8, 5682570]
[paragraph, [217.0, 280.5, 1549.0, 46.5], shoonya_0sWK7OIGOF27Z8, 5682570]
[paragraph, [217.0, 327.0, 1549.0, 46.5], shoonya_0sWK7OIGOF27Z8, 5682570]
[paragraph, [217.0, 373.5, 1549.0, 46.5], shoonya_0sWK7OIGOF27Z8, 5682570]
[paragraph, [217.0, 420.0, 1549.0, 46.5], shoonya_0sWK7OIGOF27Z8, 5682570]
[paragraph, [218.0, 592.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 638.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 685.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 731.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 778.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 824.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 871.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 917.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 964.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1010.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1057.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1103.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1150.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1196.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1243.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1289.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1336.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1382.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1429.0, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [218.0, 1475.5, 1551.0, 46.5], Ri5Zd9M9LA, 5682570]
[paragraph, [242.0, 1729.0, 971.0, 46.5], oZos3qZVYq, 5682570]
[paragraph, [242.0, 1775.5, 971.0, 46.5], oZos3qZVYq, 5682570]
[paragraph, [242.0, 1822.0, 971.0, 46.5], oZos3qZVYq, 5682570]
[paragraph, [223.0, 1904.0, 941.0, 46.5], nuTTQcfLGL, 5682570]
[paragraph, [223.0, 1988.0, 984.0, 46.5], 7s-vtqDzzL, 5682570]
[paragraph, [223.0, 2034.5, 984.0, 46.5], 7s-vtqDzzL, 5682570]
[paragraph, [223.0, 2081.0, 984.0, 46.5], 7s-vtqDzzL, 5682570]
[paragraph, [213.0, 2371.0, 1447.0, 46.5], e1Umcu1mPD, 5682570]
[paragraph, [213.0, 2417.5, 1447.0, 46.5], e1Umcu1mPD, 5682570]
[paragraph, [213.0, 2464.0, 1447.0, 46.5], e1Umcu1mPD, 5682570]
[paragraph, [213.0, 2510.5, 1447.0, 46.5], e1Umcu1mPD, 5682570]
