[1637, 1070]
[paragraph, [103.0, 108.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [103.0, 144.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [103.0, 180.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [103.0, 216.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [103.0, 252.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [103.0, 288.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [103.0, 324.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [103.0, 360.0, 884.0, 36.0], shoonya_0sD8QIHKQ5S9EP, 5654261]
[paragraph, [95.0, 409.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 445.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 481.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 517.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 553.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 589.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 625.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 661.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 697.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 733.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 769.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 805.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 841.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 877.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 913.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 949.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 985.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1021.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1057.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1093.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1129.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1165.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1201.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1237.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1273.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1309.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1345.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1381.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1417.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1453.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
[paragraph, [95.0, 1489.0, 911.0, 36.0], shoonya_1s6ZUKYD50XOJT, 5654261]
