[792, 612]
[headline, [101.0, 28.0, 208.0, 25.5], shoonya_12s14JJUTLC02C, 6516634]
[paragraph, [78.0, 112.0, 171.0, 18.0], _vaj_miydW, 6516634]
[paragraph, [78.0, 130.0, 171.0, 18.0], _vaj_miydW, 6516634]
[paragraph, [76.0, 169.0, 149.0, 18.0], fLz9yW6xFS, 6516634]
[paragraph, [76.0, 187.0, 149.0, 18.0], fLz9yW6xFS, 6516634]
[paragraph, [76.0, 205.0, 149.0, 18.0], fLz9yW6xFS, 6516634]
[paragraph, [76.0, 223.0, 149.0, 18.0], fLz9yW6xFS, 6516634]
[paragraph, [76.0, 241.0, 149.0, 18.0], fLz9yW6xFS, 6516634]
[paragraph, [76.0, 259.0, 149.0, 18.0], fLz9yW6xFS, 6516634]
[paragraph, [75.0, 287.0, 150.0, 18.0], J7Vz6MFgeF, 6516634]
[paragraph, [75.0, 305.0, 150.0, 18.0], J7Vz6MFgeF, 6516634]
[paragraph, [75.0, 323.0, 150.0, 18.0], J7Vz6MFgeF, 6516634]
[paragraph, [75.0, 341.0, 150.0, 18.0], J7Vz6MFgeF, 6516634]
[paragraph, [387.0, 311.0, 147.0, 18.0], nDC54xTXLf, 6516634]
[paragraph, [387.0, 329.0, 147.0, 18.0], nDC54xTXLf, 6516634]
[paragraph, [387.0, 347.0, 147.0, 18.0], nDC54xTXLf, 6516634]
[paragraph, [387.0, 365.0, 147.0, 18.0], nDC54xTXLf, 6516634]
[paragraph, [387.0, 383.0, 147.0, 18.0], nDC54xTXLf, 6516634]
[paragraph, [387.0, 401.0, 147.0, 18.0], nDC54xTXLf, 6516634]
[paragraph, [387.0, 419.0, 147.0, 18.0], nDC54xTXLf, 6516634]
[paragraph, [232.0, 313.0, 146.0, 18.0], h1UpblJV3c, 6516634]
[paragraph, [231.0, 342.0, 148.0, 18.0], ri48SgRlTQ, 6516634]
[paragraph, [231.0, 360.0, 148.0, 18.0], ri48SgRlTQ, 6516634]
[paragraph, [231.0, 378.0, 148.0, 18.0], ri48SgRlTQ, 6516634]
[paragraph, [231.0, 396.0, 148.0, 18.0], ri48SgRlTQ, 6516634]
[paragraph, [231.0, 414.0, 148.0, 18.0], ri48SgRlTQ, 6516634]
[paragraph, [231.0, 432.0, 148.0, 18.0], ri48SgRlTQ, 6516634]
[paragraph, [75.0, 373.0, 148.0, 18.0], e92TYuqDzz, 6516634]
[paragraph, [75.0, 391.0, 148.0, 18.0], e92TYuqDzz, 6516634]
[paragraph, [75.0, 409.0, 148.0, 18.0], e92TYuqDzz, 6516634]
[paragraph, [75.0, 427.0, 148.0, 18.0], e92TYuqDzz, 6516634]
[paragraph, [75.0, 445.0, 148.0, 18.0], e92TYuqDzz, 6516634]
[paragraph, [75.0, 463.0, 148.0, 18.0], e92TYuqDzz, 6516634]
[paragraph, [387.0, 441.0, 147.0, 18.0], EUgiOhvPLA, 6516634]
[paragraph, [387.0, 459.0, 147.0, 18.0], EUgiOhvPLA, 6516634]
[paragraph, [231.0, 457.0, 148.0, 18.0], MAz3h07Kjs, 6516634]
[paragraph, [231.0, 475.0, 148.0, 18.0], MAz3h07Kjs, 6516634]
[paragraph, [231.0, 493.0, 148.0, 18.0], MAz3h07Kjs, 6516634]
[paragraph, [231.0, 511.0, 148.0, 18.0], MAz3h07Kjs, 6516634]
[paragraph, [231.0, 529.0, 148.0, 18.0], MAz3h07Kjs, 6516634]
[paragraph, [386.0, 485.0, 149.0, 18.0], 6y2kx9fEn4, 6516634]
[paragraph, [386.0, 503.0, 149.0, 18.0], 6y2kx9fEn4, 6516634]
[paragraph, [386.0, 521.0, 149.0, 18.0], 6y2kx9fEn4, 6516634]
[paragraph, [386.0, 539.0, 149.0, 18.0], 6y2kx9fEn4, 6516634]
[paragraph, [386.0, 557.0, 149.0, 18.0], 6y2kx9fEn4, 6516634]
[paragraph, [78.0, 488.0, 146.0, 18.0], 6fY0hU4GLC, 6516634]
[paragraph, [78.0, 506.0, 146.0, 18.0], 6fY0hU4GLC, 6516634]
[paragraph, [78.0, 524.0, 146.0, 18.0], 6fY0hU4GLC, 6516634]
[paragraph, [78.0, 542.0, 146.0, 18.0], 6fY0hU4GLC, 6516634]
[paragraph, [78.0, 560.0, 146.0, 18.0], 6fY0hU4GLC, 6516634]
[paragraph, [78.0, 578.0, 146.0, 18.0], 6fY0hU4GLC, 6516634]
[paragraph, [78.0, 596.0, 146.0, 18.0], 6fY0hU4GLC, 6516634]
[paragraph, [231.0, 558.0, 150.0, 18.0], Lx8GyM3dCh, 6516634]
[paragraph, [231.0, 576.0, 150.0, 18.0], Lx8GyM3dCh, 6516634]
[paragraph, [231.0, 594.0, 150.0, 18.0], Lx8GyM3dCh, 6516634]
[paragraph, [231.0, 612.0, 150.0, 18.0], Lx8GyM3dCh, 6516634]
