[2015, 1577]
[unordered-list, [0.0, 15.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 51.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 87.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 123.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 159.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 195.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 231.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 267.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 303.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 339.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 375.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 411.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 447.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 483.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 519.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 555.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 591.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 627.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[unordered-list, [0.0, 663.0, 1576.0, 36.0], 3xdTWu19Uo, 5696110]
[headline, [33.0, 27.0, 1210.0, 67.5], h4lZgTKRwO, 5696110]
[headline, [33.0, 94.5, 1210.0, 67.5], h4lZgTKRwO, 5696110]
[flag, [749.0, 181.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 217.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 253.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 289.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 325.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 361.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 397.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 433.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 469.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 505.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 541.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 577.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 613.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[flag, [749.0, 649.0, 739.0, 36.0], ftpQX3qCcO, 5696110]
[dateline, [191.0, 311.0, 455.0, 64.5], XLpI3p7Jx4, 5696110]
[dateline, [191.0, 375.5, 455.0, 64.5], XLpI3p7Jx4, 5696110]
[folio, [37.0, 528.0, 670.0, 36.0], syBovR42dA, 5696110]
[folio, [37.0, 564.0, 670.0, 36.0], syBovR42dA, 5696110]
[folio, [37.0, 600.0, 670.0, 36.0], syBovR42dA, 5696110]
[folio, [37.0, 636.0, 670.0, 36.0], syBovR42dA, 5696110]
[unordered-list, [23.0, 776.0, 1553.0, 36.0], 0EEOGRdkIx, 5696110]
[unordered-list, [23.0, 812.0, 1553.0, 36.0], 0EEOGRdkIx, 5696110]
[unordered-list, [23.0, 848.0, 1553.0, 36.0], 0EEOGRdkIx, 5696110]
[unordered-list, [23.0, 884.0, 1553.0, 36.0], 0EEOGRdkIx, 5696110]
[unordered-list, [23.0, 920.0, 1553.0, 36.0], 0EEOGRdkIx, 5696110]
[unordered-list, [1.0, 1035.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1071.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1107.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1143.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1179.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1215.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1251.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1287.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1323.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1359.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1395.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1431.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1467.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1503.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1539.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1575.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1611.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1647.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1683.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1719.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1755.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[unordered-list, [1.0, 1791.0, 1539.0, 36.0], HC5DATpNw-, 5696110]
[contact-info, [871.0, 1890.0, 506.0, 36.0], 8p5nPsxAPR, 5696110]
[contact-info, [871.0, 1926.0, 506.0, 36.0], 8p5nPsxAPR, 5696110]
[folio, [206.0, 1896.0, 1200.0, 36.0], x5bH6tEem_, 5696110]
[folio, [206.0, 1932.0, 1200.0, 36.0], x5bH6tEem_, 5696110]
