[1518, 1075]
[folio, [550.0, 112.0, 76.0, 36.0], Oj5-izj1p0, 5722668]
[paragraph, [115.0, 167.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 203.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 239.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 275.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 311.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 347.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 383.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 419.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 455.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 491.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 527.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 563.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 599.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 635.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 671.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 707.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 743.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 779.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 815.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 851.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 887.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 923.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 959.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 995.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1031.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1067.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1103.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1139.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1175.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1211.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1247.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [115.0, 1283.0, 425.0, 36.0], shoonya_2sZMQJYAGIVPTI, 5722668]
[paragraph, [557.0, 173.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 209.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 245.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 281.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 317.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 353.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 389.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 425.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 461.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [557.0, 497.0, 427.0, 36.0], shoonya_1s40W7ICEKT6VF, 5722668]
[paragraph, [556.0, 545.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 581.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 617.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 653.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 689.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 725.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 761.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 797.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 833.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 869.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 905.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 941.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 977.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1013.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1049.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1085.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1121.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1157.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1193.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1229.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[paragraph, [556.0, 1265.0, 429.0, 36.0], shoonya_0sPUM1NWYTS7TP, 5722668]
[folio, [190.0, 1384.0, 428.0, 36.0], shoonya_4sXFMABB6U8DCJ, 5722668]
